Duration => 1601
UI Thread => 1019
Worker Thread => 3777

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 172
<java.lang.Object: boolean equals(java.lang.Object)>: 78
<java.lang.String: int hashCode()>: 77
<java.io.ObjectInputStream: void close()>: 72
<java.io.FileInputStream: void close()>: 72
<java.io.ObjectInputStream: java.lang.Object readObject()>: 72
<java.io.ObjectInputStream: void <init>(java.io.InputStream)>: 72
<com.fasterxml.jackson.databind.JavaType: int hashCode()>: 46
<com.fasterxml.jackson.'annotation'.JsonInclude$Value: boolean equals(java.lang.Object)>: 34
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 23
<java.lang.Object: java.lang.String toString()>: 18
<com.fasterxml.jackson.databind.JavaType: boolean equals(java.lang.Object)>: 16
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 13
<android.net.Uri$Builder: android.net.Uri build()>: 13
<java.io.File: void <init>(java.io.File,java.lang.String)>: 10
<java.io.File: boolean exists()>: 7
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 6
<android.net.Uri$Builder: android.net.Uri$Builder authority(java.lang.String)>: 6
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 6
<android.net.Uri$Builder: void <init>()>: 6
<java.net.URL: java.lang.String toString()>: 6
<java.io.FileOutputStream: void <init>(java.io.File)>: 5
<java.io.File: boolean mkdirs()>: 5
<java.io.Closeable: void close()>: 4
<java.net.URI: void <init>(java.lang.String)>: 4
<java.io.File: java.lang.String getName()>: 4
<java.net.InetAddress: java.lang.String toString()>: 4
<java.io.BufferedOutputStream: void flush()>: 4
<com.fasterxml.jackson.databind.introspect.MemberKey: boolean equals(java.lang.Object)>: 4
<java.io.IOException: void <init>(java.lang.String)>: 4
<java.net.URI: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)>: 4
<java.io.FileOutputStream: void close()>: 4
<java.net.URI: java.lang.String getScheme()>: 4
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>: 4
