Duration => 4531
UI Thread => 266
Worker Thread => 5089

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 37
<java.io.InputStream: void close()>: 19
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 17
<java.io.OutputStream: void close()>: 17
<java.io.ByteArrayOutputStream: void <init>()>: 17
<java.io.OutputStream: void write(byte[],int,int)>: 17
<java.io.File: void <init>(java.lang.String)>: 17
<java.io.BufferedReader: java.lang.String readLine()>: 15
<java.io.FileReader: void <init>(java.io.File)>: 15
<java.io.Closeable: void close()>: 15
<android.database.Cursor: void close()>: 15
<java.io.BufferedReader: void <init>(java.io.Reader)>: 15
<android.database.sqlite.SQLiteClosable: void close()>: 15
<java.io.PrintStream: void println(java.lang.String)>: 6
<java.io.ByteArrayInputStream: void <init>(byte[])>: 2
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 2
<android.graphics.Bitmap: int getHeight()>: 1
<org.jj.ahk: void <init>()>: 1
<android.net.NetworkInfo: boolean isAvailable()>: 1
<android.net.wifi.WifiManager: boolean isWifiEnabled()>: 1
<android.net.NetworkInfo: int getType()>: 1
<java.net.URL: void <init>(java.lang.String)>: 1
<org.jj.aqy: boolean equals(java.lang.Object)>: 1
<java.io.File: long lastModified()>: 1
<java.net.URL: java.lang.String toString()>: 1
<java.io.File: java.net.URI toURI()>: 1
<java.net.URLDecoder: java.lang.String decode(java.lang.String)>: 1
<java.lang.Enum: int hashCode()>: 1
<android.net.NetworkInfo: boolean isConnected()>: 1
<android.graphics.Bitmap: boolean isRecycled()>: 1
<android.database.Observable: void <init>()>: 1
<android.graphics.Bitmap: int getRowBytes()>: 1
<java.net.URL: java.lang.String getProtocol()>: 1
<java.net.URL: java.net.URLConnection openConnection()>: 1
<java.net.URL: java.lang.String getFile()>: 1
<java.lang.StackTraceElement: boolean equals(java.lang.Object)>: 1
<java.net.URLConnection: java.io.InputStream getInputStream()>: 1
<java.io.File: boolean isFile()>: 1
<java.net.URI: java.net.URL toURL()>: 1
<java.net.URLConnection: void setUseCaches(boolean)>: 1
<java.io.File: boolean exists()>: 1
----------------StartWorker----------------
<java.lang.String: boolean equals(java.lang.Object)>: 586
<java.io.File: void <init>(java.lang.String)>: 445
<java.io.File: boolean exists()>: 353
<java.io.PrintStream: void println(java.lang.String)>: 114
<java.io.File: long length()>: 107
<java.lang.Object: int hashCode()>: 106
<java.io.IOException: void <init>(java.lang.String)>: 105
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 90
<java.net.URL: java.net.URLConnection openConnection()>: 79
<java.net.URL: void <init>(java.lang.String)>: 79
<java.net.URLConnection: java.io.InputStream getInputStream()>: 79
<java.io.File: java.lang.String getAbsolutePath()>: 78
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 75
<java.io.InputStream: void close()>: 66
<java.io.ByteArrayOutputStream: void <init>(int)>: 60
<java.net.HttpURLConnection: int getResponseCode()>: 60
<android.net.NetworkInfo: int getType()>: 60
<java.net.URLConnection: void setReadTimeout(int)>: 60
<java.io.File: void <init>(java.io.File,java.lang.String)>: 60
<java.net.URLConnection: void setConnectTimeout(int)>: 60
<android.database.sqlite.SQLiteDatabase: int update(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[])>: 60
<java.io.File: boolean isFile()>: 49
<java.net.URLConnection: void setUseCaches(boolean)>: 49
<android.database.Cursor: void close()>: 47
<java.io.File: boolean isDirectory()>: 46
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 46
<com.jaredrummler.android.processes.models.ProcFile: void <init>(java.lang.String)>: 45
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 45
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 45
<java.io.InputStream: int read(byte[])>: 45
<java.net.URLConnection: void setDoInput(boolean)>: 45
<java.io.File: boolean delete()>: 45
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 32
<android.database.sqlite.SQLiteDatabase: int delete(java.lang.String,java.lang.String,java.lang.String[])>: 31
<java.io.File: boolean createNewFile()>: 31
<android.database.sqlite.SQLiteDatabase: void execSQL(java.lang.String)>: 31
<java.io.File: boolean renameTo(java.io.File)>: 31
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 31
<java.io.File: boolean mkdirs()>: 31
<java.io.FileInputStream: void <init>(java.io.File)>: 30
<java.net.URLConnection: void setDoOutput(boolean)>: 30
<android.net.Proxy: int getPort(android.content.Context)>: 30
<java.io.File: java.lang.String getName()>: 30
<java.io.BufferedReader: java.lang.String readLine()>: 30
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 30
<java.net.NetworkInterface: java.lang.String getName()>: 30
<com.jaredrummler.android.processes.models.Stat: com.jaredrummler.android.processes.models.Stat p(int)>: 30
<com.jaredrummler.android.processes.models.ProcFile: java.lang.String a(java.lang.String)>: 30
<java.net.NetworkInterface: java.util.List getInterfaceAddresses()>: 30
<java.io.OutputStream: void write(byte[])>: 30
<java.net.NetworkInterface: java.util.Enumeration getNetworkInterfaces()>: 30
<android.net.NetworkInfo: boolean isAvailable()>: 30
<android.net.Proxy: java.lang.String getHost(android.content.Context)>: 30
<java.io.ByteArrayOutputStream: void write(byte[],int,int)>: 30
<java.io.BufferedReader: void <init>(java.io.Reader)>: 30
<java.net.NetworkInterface: boolean isUp()>: 30
<java.io.Reader: int read(char[],int,int)>: 30
<java.io.File: long lastModified()>: 19
<java.net.URL: java.lang.String getFile()>: 19
<java.lang.StackTraceElement: boolean equals(java.lang.Object)>: 19
<org.jj.aqy: boolean equals(java.lang.Object)>: 19
<java.net.URI: java.net.URL toURL()>: 19
<java.net.URL: java.lang.String toString()>: 19
<java.io.File: java.net.URI toURI()>: 19
<java.net.URLDecoder: java.lang.String decode(java.lang.String)>: 19
<java.net.URL: java.lang.String getProtocol()>: 19
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 16
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 16
<java.io.Closeable: void close()>: 16
<java.lang.Object: boolean equals(java.lang.Object)>: 16
<java.io.File: java.lang.String getPath()>: 16
<android.database.sqlite.SQLiteDatabase: void endTransaction()>: 16
<java.lang.String: int hashCode()>: 16
<java.io.File: java.io.File getParentFile()>: 16
<android.database.sqlite.SQLiteDatabase: void setTransactionSuccessful()>: 16
<android.database.sqlite.SQLiteDatabase: void beginTransaction()>: 16
<java.io.FileReader: void <init>(java.io.File)>: 15
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 15
<java.net.URLConnection: java.util.Map getRequestProperties()>: 15
<java.io.OutputStream: void write(byte[],int,int)>: 15
<java.util.zip.DeflaterOutputStream: void flush()>: 15
<java.io.BufferedOutputStream: void write(byte[],int,int)>: 15
<java.io.OutputStream: void flush()>: 15
<java.util.zip.GZIPOutputStream: void <init>(java.io.OutputStream)>: 15
<java.net.URLConnection: java.util.Map getHeaderFields()>: 15
<com.jaredrummler.android.processes.models.Status: void <init>(java.lang.String)>: 15
<java.net.URLConnection: void addRequestProperty(java.lang.String,java.lang.String)>: 15
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 15
<java.io.RandomAccessFile: java.io.FileDescriptor getFD()>: 15
<java.io.RandomAccessFile: void setLength(long)>: 15
<java.io.BufferedOutputStream: void flush()>: 15
<java.net.URL: java.net.URLConnection openConnection(java.net.Proxy)>: 15
<com.jaredrummler.android.processes.models.Cgroup: com.jaredrummler.android.processes.models.Cgroup p(int)>: 15
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>: 15
<com.jaredrummler.android.processes.models.Status: com.jaredrummler.android.processes.models.Status p(int)>: 15
<java.io.RandomAccessFile: void <init>(java.io.File,java.lang.String)>: 15
<java.net.URLConnection: java.lang.String getContentEncoding()>: 15
<java.io.EOFException: void <init>(java.lang.String)>: 15
<com.jaredrummler.android.processes.models.Stat: void <init>(java.lang.String)>: 15
<java.util.zip.GZIPInputStream: void <init>(java.io.InputStream)>: 15
<org.jj.dln: void <init>(java.lang.String)>: 15
<java.io.FileReader: void <init>(java.lang.String)>: 15
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>: 15
<java.lang.Enum: boolean equals(java.lang.Object)>: 15
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 15
<java.io.BufferedReader: void close()>: 15
<java.io.FilterOutputStream: void write(byte[])>: 15
<java.io.ByteArrayOutputStream: void <init>()>: 15
<java.util.zip.DeflaterOutputStream: void close()>: 15
<java.io.FileOutputStream: void <init>(java.io.FileDescriptor)>: 15
<java.io.IOException: void <init>(java.lang.String,java.lang.Throwable)>: 15
<android.net.wifi.WifiInfo: java.lang.String getSSID()>: 15
<java.io.FileDescriptor: void sync()>: 15
<android.graphics.Bitmap: android.graphics.Bitmap$Config getConfig()>: 15
