Duration => 122
UI Thread => 232
Worker Thread => 1082

----------------StartUI----------------
<java.io.File: boolean exists()>: 25
<java.io.File: void <init>(java.io.File,java.lang.String)>: 16
<java.io.File: boolean delete()>: 16
<java.io.IOException: void <init>(java.lang.String)>: 15
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 13
<android.database.sqlite.SQLiteClosable: void close()>: 9
<java.io.File: java.io.File[] listFiles()>: 8
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 8
<java.io.File: boolean mkdirs()>: 7
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 6
<java.io.File: boolean isDirectory()>: 5
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 5
<java.io.File: void <init>(java.lang.String)>: 5
<java.io.IOException: void <init>()>: 4
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 4
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 4
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 4
<java.io.File: boolean mkdir()>: 4
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 4
<java.io.Writer: void close()>: 4
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 4
<android.database.sqlite.SQLiteOpenHelper: void close()>: 4
<android.net.Uri$Builder: android.net.Uri build()>: 3
<java.io.File: long length()>: 3
<java.io.File: java.net.URI toURI()>: 3
<java.io.File: java.lang.String getName()>: 3
<java.net.URI: java.lang.String toString()>: 3
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 3
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 3
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 3
<android.graphics.BitmapFactory$Options: void <init>()>: 2
<java.io.File: boolean renameTo(java.io.File)>: 2
<java.io.FileInputStream: void <init>(java.io.File)>: 2
<java.io.ByteArrayOutputStream: java.lang.String toString()>: 2
<com.nostra13.universalimageloader.cache.disc.impl.ext.DiskLruCache: void close()>: 2
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 2
<java.nio.charset.Charset: boolean equals(java.lang.Object)>: 2
<java.io.ByteArrayOutputStream: void <init>(int)>: 2
<java.io.Writer: void write(java.lang.String)>: 2
<java.io.InputStream: int read(byte[],int,int)>: 2
<java.io.FileOutputStream: void <init>(java.io.File)>: 2
<java.io.File: boolean createNewFile()>: 2
<java.io.ByteArrayOutputStream: void write(byte[],int,int)>: 2
<java.io.EOFException: void <init>()>: 2
<java.io.PrintStream: void println(java.lang.String)>: 2
<java.io.InputStream: int read(byte[])>: 1
<java.io.InputStream: void close()>: 1
<android.graphics.Bitmap: boolean isRecycled()>: 1
<java.io.InputStream: int available()>: 1
----------------StartWorker----------------
<java.io.File: boolean exists()>: 82
<java.io.File: void <init>(java.io.File,java.lang.String)>: 68
<java.io.FileOutputStream: void <init>(java.io.File)>: 60
<java.io.OutputStream: void flush()>: 47
<java.io.InputStream: void close()>: 44
<java.io.FileOutputStream: void close()>: 44
<java.io.IOException: void <init>(java.lang.String)>: 42
<java.io.File: boolean delete()>: 41
<java.io.FileOutputStream: void write(byte[],int,int)>: 32
<java.io.InputStream: int read(byte[])>: 32
<java.io.File: boolean mkdirs()>: 32
<java.io.File: void <init>(java.lang.String)>: 28
<java.io.File: java.lang.String getAbsolutePath()>: 24
<java.io.File: boolean renameTo(java.io.File)>: 22
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 21
<java.io.Writer: void write(java.lang.String)>: 19
<java.io.InputStream: int read(byte[],int,int)>: 16
<android.graphics.BitmapFactory$Options: void <init>()>: 14
<java.io.IOException: void <init>()>: 14
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 14
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 14
<java.io.File: boolean mkdir()>: 14
<java.io.Writer: void close()>: 14
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 14
<java.io.Closeable: void close()>: 12
<java.io.File: long length()>: 12
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>: 12
<java.io.Writer: void flush()>: 12
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 12
<java.io.FileInputStream: void <init>(java.io.File)>: 10
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 10
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 9
<android.graphics.Bitmap: void recycle()>: 9
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 9
<com.nostra13.universalimageloader.cache.disc.impl.ext.DiskLruCache$2: void <init>()>: 9
<android.graphics.Bitmap: int getHeight()>: 9
<java.io.OutputStream: void <init>()>: 9
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 7
<java.io.File: boolean isDirectory()>: 7
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 7
<java.io.ByteArrayOutputStream: java.lang.String toString()>: 7
<com.nostra13.universalimageloader.cache.disc.impl.ext.DiskLruCache: void close()>: 7
<java.nio.charset.Charset: boolean equals(java.lang.Object)>: 7
<java.io.ByteArrayOutputStream: void <init>(int)>: 7
<java.io.File: boolean createNewFile()>: 7
<java.io.File: java.io.File[] listFiles()>: 7
<java.io.ByteArrayOutputStream: void write(byte[],int,int)>: 7
<java.io.EOFException: void <init>()>: 7
<java.io.PrintStream: void println(java.lang.String)>: 7
<android.database.sqlite.SQLiteClosable: void close()>: 7
<java.io.InputStream: void reset()>: 6
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 6
<android.graphics.Bitmap: int getWidth()>: 6
<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>: 6
<android.graphics.Bitmap: boolean isRecycled()>: 5
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 4
<java.net.URL: void <init>(java.lang.String)>: 4
<java.net.URL: java.net.URLConnection openConnection()>: 4
<java.net.URLConnection: java.io.InputStream getInputStream()>: 4
<java.net.HttpURLConnection: int getResponseCode()>: 4
<java.io.ByteArrayOutputStream: void <init>()>: 4
