Duration => 4355
UI Thread => 591
Worker Thread => 4400

----------------StartUI----------------
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 33
<java.io.File: boolean exists()>: 32
<android.database.Cursor: void close()>: 30
<java.io.File: void <init>(java.lang.String)>: 25
<java.net.URL: java.lang.String toString()>: 25
<java.io.File: java.lang.String getAbsolutePath()>: 24
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 19
<java.io.PrintStream: void println(java.lang.String)>: 18
<java.io.File: boolean delete()>: 17
<java.io.DataOutput: void writeByte(int)>: 16
<java.io.DataInput: byte readByte()>: 16
<java.io.File: boolean mkdirs()>: 14
<io.realm.ak: void close()>: 12
<io.realm.internal.OsSharedRealm: void close()>: 11
<java.io.File: boolean isFile()>: 11
<java.io.File: void <init>(java.io.File,java.lang.String)>: 11
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 10
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 8
<java.io.DataOutputStream: void <init>(java.io.OutputStream)>: 8
<java.io.FilterOutputStream: void write(byte[])>: 8
<java.io.ByteArrayOutputStream: void <init>()>: 8
<java.io.File: long length()>: 7
<java.io.File: java.lang.String getPath()>: 7
<java.io.ByteArrayInputStream: void <init>(byte[])>: 7
<java.io.DataInputStream: void <init>(java.io.InputStream)>: 7
<java.io.File: boolean createNewFile()>: 6
<java.net.URL: java.lang.String getPath()>: 5
<java.net.URL: java.lang.String getQuery()>: 5
<java.io.FileOutputStream: void <init>(java.io.File)>: 5
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 4
<java.io.DataOutputStream: int size()>: 4
<java.io.DataInputStream: void readFully(byte[])>: 4
<java.io.InputStreamReader: void close()>: 4
<java.io.FileWriter: void <init>(java.io.File,boolean)>: 4
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 4
<java.io.File: java.lang.String getName()>: 4
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 4
<java.io.ByteArrayOutputStream: void reset()>: 4
<java.io.OutputStream: void flush()>: 4
<java.io.BufferedReader: java.lang.String readLine()>: 4
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 4
<java.io.FileOutputStream: void close()>: 4
<java.io.InputStream: int available()>: 4
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>: 4
<java.io.File: boolean renameTo(java.io.File)>: 4
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 4
<java.net.URL: void <init>(java.lang.String)>: 4
<java.io.InputStream: void close()>: 4
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 4
<java.io.BufferedWriter: void close()>: 4
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 4
<java.io.DataInputStream: byte readByte()>: 4
<java.io.DataOutputStream: void writeByte(int)>: 4
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 4
<java.io.BufferedReader: void close()>: 4
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 4
<java.io.BufferedReader: void <init>(java.io.Reader)>: 4
<java.io.FilterInputStream: int read(byte[])>: 4
<java.io.FilterInputStream: int read()>: 4
<android.graphics.Bitmap: void recycle()>: 3
<java.net.URI: void <init>(java.lang.String)>: 3
<java.io.File: boolean canWrite()>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 3
<android.graphics.BitmapFactory$Options: void <init>()>: 3
<java.io.File: java.io.File createTempFile(java.lang.String,java.lang.String,java.io.File)>: 3
<java.io.File: boolean equals(java.lang.Object)>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 3
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 3
<io.realm.a: void close()>: 2
<io.realm.internal.RealmNotifier: void close()>: 2
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 1
<java.io.FileOutputStream: java.io.FileDescriptor getFD()>: 1
<java.io.FileInputStream: void <init>(java.io.File)>: 1
<java.io.Closeable: void close()>: 1
<java.io.File: boolean isDirectory()>: 1
<java.io.File: boolean setExecutable(boolean,boolean)>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
<android.net.Uri$Builder: android.net.Uri$Builder path(java.lang.String)>: 1
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>: 1
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 1
<java.io.File: boolean setWritable(boolean)>: 1
<android.database.DataSetObserver: void <init>()>: 1
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 1
<android.net.Uri$Builder: void <init>()>: 1
<java.io.PrintStream: void println(java.lang.Object)>: 1
<java.io.File: java.io.File[] listFiles(java.io.FilenameFilter)>: 1
<android.net.Uri$Builder: android.net.Uri build()>: 1
<java.io.InputStream: int read(byte[])>: 1
<android.net.NetworkInfo: int getType()>: 1
<java.util.zip.ZipFile: void close()>: 1
<android.net.NetworkRequest$Builder: void <init>()>: 1
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>: 1
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 1
<java.io.File: java.lang.String getCanonicalPath()>: 1
<android.net.NetworkRequest$Builder: android.net.NetworkRequest build()>: 1
<android.database.sqlite.SQLiteOpenHelper: void close()>: 1
<java.io.File: boolean setReadable(boolean,boolean)>: 1
<java.io.FileDescriptor: void sync()>: 1
<java.io.FileOutputStream: void write(byte[])>: 1
<java.io.EOFException: void <init>()>: 1
<android.net.NetworkRequest$Builder: android.net.NetworkRequest$Builder addCapability(int)>: 1
<android.database.sqlite.SQLiteClosable: void close()>: 1
----------------StartWorker----------------
<java.io.File: boolean exists()>: 250
<java.io.DataInput: byte readByte()>: 229
<java.io.File: void <init>(java.lang.String)>: 226
<android.database.Cursor: void close()>: 220
<java.io.File: boolean delete()>: 199
<io.realm.internal.OsSharedRealm: void close()>: 182
<java.io.DataOutput: void writeByte(int)>: 176
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 176
<java.io.PrintStream: void println(java.lang.String)>: 157
<java.io.File: boolean mkdirs()>: 111
<java.io.File: void <init>(java.io.File,java.lang.String)>: 108
<java.io.File: java.lang.String getAbsolutePath()>: 92
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 92
<java.io.ByteArrayInputStream: void <init>(byte[])>: 90
<java.io.DataInputStream: void <init>(java.io.InputStream)>: 90
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 88
<java.io.File: boolean isFile()>: 88
<java.io.DataOutputStream: void <init>(java.io.OutputStream)>: 88
<java.io.ByteArrayOutputStream: void <init>()>: 88
<java.io.File: boolean createNewFile()>: 63
<java.io.FileWriter: void <init>(java.io.File,boolean)>: 60
<java.io.BufferedWriter: void close()>: 60
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 60
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 60
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 48
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 48
<java.io.File: boolean isDirectory()>: 48
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 48
<io.realm.a: void close()>: 47
<java.io.FileOutputStream: void <init>(java.io.File)>: 47
<io.realm.internal.RealmNotifier: void close()>: 47
<io.realm.ak: void close()>: 47
<java.io.FileOutputStream: void write(byte[])>: 47
<java.io.FileOutputStream: void close()>: 47
<java.io.File: java.lang.String getName()>: 46
<java.net.URI: void <init>(java.lang.String)>: 45
<java.io.InputStream: void close()>: 45
<java.io.File: boolean equals(java.lang.Object)>: 45
<java.io.BufferedReader: java.lang.String readLine()>: 45
<java.io.BufferedReader: void close()>: 45
<java.io.BufferedReader: void <init>(java.io.Reader)>: 45
<java.io.File: boolean renameTo(java.io.File)>: 44
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 44
<java.io.DataOutputStream: int size()>: 44
<java.io.DataInputStream: void readFully(byte[])>: 44
<java.io.InputStreamReader: void close()>: 44
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 44
<java.io.File: java.lang.String getPath()>: 44
<java.io.ByteArrayOutputStream: void reset()>: 44
<java.io.DataInputStream: byte readByte()>: 44
<java.io.DataOutputStream: void writeByte(int)>: 44
<java.io.FilterOutputStream: void write(byte[])>: 44
<java.io.FilterInputStream: int read()>: 44
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 4
<java.io.File: long length()>: 4
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>: 4
<android.database.sqlite.SQLiteOpenHelper: void close()>: 4
<android.database.sqlite.SQLiteClosable: void close()>: 4
<java.io.File: java.io.File[] listFiles()>: 2
<java.io.OutputStreamWriter: void close()>: 1
<java.io.InputStream: int read(byte[])>: 1
<java.io.FileReader: void <init>(java.lang.String)>: 1
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 1
<java.io.Writer: void write(java.lang.String)>: 1
<java.io.FileInputStream: void <init>(java.lang.String)>: 1
<java.io.FileWriter: void <init>(java.io.File)>: 1
