Duration => 96
UI Thread => 510
Worker Thread => 752

----------------StartUI----------------
<android.net.Uri$Builder: android.net.Uri build()>: 25
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 25
<java.io.File: boolean exists()>: 23
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 23
<android.database.Cursor: void close()>: 22
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 20
<java.net.URI: java.net.URI create(java.lang.String)>: 18
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 18
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 17
<java.io.File: void <init>(java.io.File,java.lang.String)>: 13
<java.io.File: boolean delete()>: 13
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 11
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 11
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 10
<java.io.FileInputStream: void close()>: 10
<java.io.BufferedReader: java.lang.String readLine()>: 10
<java.io.BufferedReader: void <init>(java.io.Reader)>: 10
<java.net.URL: java.lang.String getPath()>: 9
<java.io.FileInputStream: void <init>(java.io.File)>: 9
<java.net.URL: java.lang.String getHost()>: 9
<java.net.URL: java.lang.String getRef()>: 9
<java.net.URL: void <init>(java.lang.String)>: 9
<java.io.InputStream: void close()>: 9
<java.net.URL: java.lang.String getProtocol()>: 9
<java.net.URI: java.lang.String toASCIIString()>: 9
<java.net.URI: void <init>(java.lang.String,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String)>: 9
<java.io.FileOutputStream: void <init>(java.io.File)>: 9
<java.net.URL: java.lang.String getUserInfo()>: 9
<java.net.URL: int getPort()>: 9
<java.nio.charset.UnsupportedCharsetException: void <init>(java.lang.String)>: 9
<java.net.URL: java.lang.String getQuery()>: 9
<java.net.URI: java.net.URI normalize()>: 9
<java.io.FileOutputStream: void write(byte[])>: 8
<java.io.FileOutputStream: void close()>: 8
<android.graphics.BitmapFactory$Options: void <init>()>: 7
<android.graphics.Bitmap: int getHeight()>: 7
<android.graphics.Bitmap: int getWidth()>: 7
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int,android.graphics.BitmapFactory$Options)>: 6
<android.graphics.Bitmap: android.graphics.Bitmap$Config getConfig()>: 6
<java.io.IOException: void <init>(java.lang.String)>: 6
<android.graphics.Bitmap: boolean isRecycled()>: 4
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 4
<java.io.IOException: void <init>()>: 2
<java.io.InputStreamReader: void close()>: 2
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 2
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 2
<java.io.File: boolean mkdir()>: 2
<java.io.Writer: void close()>: 2
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 2
<java.io.File: boolean mkdirs()>: 2
<java.io.File: boolean renameTo(java.io.File)>: 1
<android.graphics.Bitmap: void recycle()>: 1
<java.io.File: boolean isDirectory()>: 1
<com.b.a.a.a.a.a.a: void close()>: 1
<android.database.ContentObserver: void <init>(android.os.Handler)>: 1
<java.io.ByteArrayOutputStream: java.lang.String toString()>: 1
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 1
<java.nio.charset.Charset: boolean equals(java.lang.Object)>: 1
<java.io.ByteArrayOutputStream: void <init>(int)>: 1
<java.io.Writer: void write(java.lang.String)>: 1
<java.io.InputStream: int read(byte[],int,int)>: 1
<java.io.File: boolean createNewFile()>: 1
<java.io.File: java.io.File[] listFiles()>: 1
<java.io.ByteArrayOutputStream: void write(byte[],int,int)>: 1
<java.io.EOFException: void <init>()>: 1
<java.io.PrintStream: void println(java.lang.String)>: 1
<java.io.File: void <init>(java.lang.String)>: 1
----------------StartWorker----------------
<java.io.File: boolean exists()>: 49
<java.io.File: boolean delete()>: 30
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>: 24
<android.graphics.Bitmap: int getHeight()>: 24
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 24
<java.io.File: java.lang.String getAbsolutePath()>: 24
<java.io.File: void <init>(java.io.File,java.lang.String)>: 20
<java.io.File: boolean renameTo(java.io.File)>: 19
<java.io.File: long length()>: 19
<android.graphics.BitmapFactory$Options: void <init>()>: 18
<android.graphics.Bitmap: void recycle()>: 18
<java.io.InputStream: int read(byte[],int,int)>: 18
<java.io.FileOutputStream: void <init>(java.io.File)>: 18
<java.io.File: void <init>(java.lang.String)>: 18
<android.net.Uri$Builder: android.net.Uri build()>: 16
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 16
<java.io.Closeable: void close()>: 13
<java.io.InputStream: void close()>: 13
<java.io.Writer: void write(java.lang.String)>: 13
<java.io.Writer: void flush()>: 13
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 12
<java.io.InputStream: void reset()>: 12
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 12
<java.io.ByteArrayInputStream: void <init>(byte[])>: 12
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 12
<java.net.HttpURLConnection: int getResponseCode()>: 12
<android.graphics.Bitmap: int getWidth()>: 12
<java.io.ByteArrayOutputStream: void <init>()>: 12
<java.io.IOException: void <init>(java.lang.String)>: 12
<android.graphics.Bitmap: int getRowBytes()>: 12
<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>: 12
<java.io.File: boolean mkdirs()>: 12
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 10
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 10
<android.graphics.Bitmap: boolean isRecycled()>: 8
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 7
<com.b.a.a.a.a.a.a$2: void <init>()>: 7
<java.io.OutputStream: void <init>()>: 7
<java.io.IOException: void <init>()>: 6
<java.io.File: boolean setLastModified(long)>: 6
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 6
<java.io.FileInputStream: void <init>(java.io.File)>: 6
<com.b.a.a.a.a.a.a$c: void close()>: 6
<java.net.URL: void <init>(java.lang.String)>: 6
<java.io.File: long lastModified()>: 6
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 6
<java.io.OutputStream: void write(byte[],int,int)>: 6
<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>: 6
<java.net.URLConnection: void setReadTimeout(int)>: 6
<java.net.URL: java.net.URLConnection openConnection()>: 6
<java.io.InputStream: void <init>()>: 6
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>: 6
<java.io.OutputStream: void flush()>: 6
<java.net.URLConnection: java.io.InputStream getInputStream()>: 6
<android.net.Uri: java.lang.String encode(java.lang.String,java.lang.String)>: 6
<com.b.a.b.a.c: void <init>(java.io.InputStream)>: 6
<java.net.URLConnection: void setConnectTimeout(int)>: 6
<java.io.FileInputStream: void <init>(java.lang.String)>: 6
<java.net.HttpURLConnection: java.io.InputStream getErrorStream()>: 6
<java.io.FilterInputStream: void <init>(java.io.InputStream)>: 6
<java.net.URLConnection: int getContentLength()>: 6
<java.io.InputStream: int available()>: 6
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 4
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 4
