Duration => 225
UI Thread => 98
Worker Thread => 1628

----------------StartUI----------------
<android.graphics.drawable.BitmapDrawable: void <init>()>: 48
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 6
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 5
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 5
<android.database.Cursor: void close()>: 4
<java.io.File: void <init>(java.io.File,java.lang.String)>: 4
<java.io.File: java.lang.String getAbsolutePath()>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 3
<android.graphics.BitmapFactory$Options: void <init>()>: 2
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 2
<android.graphics.Bitmap: int getWidth()>: 2
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 2
<java.io.File: boolean delete()>: 1
<android.graphics.Bitmap: int getHeight()>: 1
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 1
<android.graphics.Bitmap: void recycle()>: 1
<java.io.FileOutputStream: void <init>(java.io.File)>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeByteArray(byte[],int,int,android.graphics.BitmapFactory$Options)>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 1
<java.io.FileOutputStream: void close()>: 1
<java.io.ByteArrayOutputStream: void <init>()>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeByteArray(byte[],int,int)>: 1
<java.io.File: void <init>(java.lang.String)>: 1
----------------StartWorker----------------
<android.graphics.drawable.BitmapDrawable: void <init>()>: 357
<java.io.PrintStream: void println(java.lang.String)>: 195
<java.io.InputStream: void close()>: 68
<java.util.zip.GZIPInputStream: void <init>(java.io.InputStream)>: 67
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 67
<java.io.InputStream: int read()>: 67
<java.io.InputStream: void reset()>: 67
<java.io.InputStream: boolean markSupported()>: 67
<java.io.InputStream: void mark(int)>: 67
<java.io.File: void <init>(java.lang.String)>: 66
<java.io.BufferedReader: java.lang.String readLine()>: 65
<java.io.Closeable: void close()>: 65
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 65
<java.io.BufferedReader: void <init>(java.io.Reader)>: 65
<java.io.PrintStream: void <init>(java.io.File)>: 65
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 64
<android.net.NetworkInfo: boolean isConnected()>: 63
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 63
<java.io.File: java.lang.String[] list()>: 4
<java.io.File: boolean isDirectory()>: 4
<java.io.File: void <init>(java.io.File,java.lang.String)>: 2
<java.io.FileOutputStream: void write(byte[],int,int)>: 1
<java.io.File: boolean createNewFile()>: 1
<java.io.FileOutputStream: void <init>(java.io.File)>: 1
<java.net.HttpURLConnection: int getResponseCode()>: 1
<java.io.InputStream: int read(byte[])>: 1
<java.net.URL: void <init>(java.lang.String)>: 1
<java.net.URL: java.net.URLConnection openConnection()>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 1
<java.net.HttpURLConnection: java.lang.String getResponseMessage()>: 1
<java.io.File: java.lang.String getAbsolutePath()>: 1
<java.io.File: boolean mkdir()>: 1
<java.io.FileOutputStream: void close()>: 1
<java.net.URLConnection: java.io.InputStream getInputStream()>: 1
<java.io.File: boolean exists()>: 1
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 1
