Duration => 99
UI Thread => 276
Worker Thread => 676

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 41
<java.io.PrintStream: void println(java.lang.String)>: 33
<java.io.File: boolean exists()>: 17
<java.io.File: void <init>(java.io.File,java.lang.String)>: 16
<java.lang.Enum: boolean equals(java.lang.Object)>: 9
<java.io.File: void <init>(java.lang.String)>: 9
<java.io.IOException: void <init>(java.lang.String)>: 8
<java.io.File: boolean delete()>: 7
<java.io.File: java.lang.String getAbsolutePath()>: 7
<java.lang.Object: boolean equals(java.lang.Object)>: 4
<java.net.ProxySelector: java.net.ProxySelector getDefault()>: 4
<java.lang.String: int hashCode()>: 4
<java.io.File: boolean mkdirs()>: 4
<java.io.File: boolean isDirectory()>: 3
<java.io.FileOutputStream: void <init>(java.io.File)>: 3
<java.io.File: java.io.File[] listFiles()>: 3
<java.io.File: java.io.File getParentFile()>: 3
<android.database.Cursor: void close()>: 3
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 2
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 2
<java.io.IOException: void <init>()>: 2
<java.io.File: boolean renameTo(java.io.File)>: 2
<java.net.InetAddress: java.net.InetAddress getByName(java.lang.String)>: 2
<android.net.Uri$Builder: android.net.Uri build()>: 2
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 2
<java.net.URI: void <init>(java.lang.String)>: 2
<android.database.ContentObserver: void <init>(android.os.Handler)>: 2
<java.io.OutputStream: void write(byte[],int,int)>: 2
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 2
<java.io.File: java.lang.String getName()>: 2
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 2
<java.net.ProxySelector: void setDefault(java.net.ProxySelector)>: 2
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 2
<java.io.File: java.lang.String getPath()>: 2
<java.io.File: boolean mkdir()>: 2
<java.io.File: java.lang.String getCanonicalPath()>: 2
<java.lang.Object: java.lang.String toString()>: 2
<java.io.File: boolean isFile()>: 2
<java.io.Writer: void write(java.lang.String)>: 2
<java.io.Writer: void close()>: 2
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 2
<java.net.ServerSocket: int getLocalPort()>: 2
<java.net.ServerSocket: void <init>(int,int,java.net.InetAddress)>: 2
<android.net.Uri: java.lang.String encode(java.lang.String,java.lang.String)>: 2
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 2
<java.io.ByteArrayInputStream: void <init>(byte[])>: 2
<android.net.Uri$Builder: android.net.Uri$Builder authority(java.lang.String)>: 2
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 2
<android.net.Uri$Builder: void <init>()>: 2
<java.io.File: java.io.File getCanonicalFile()>: 2
<android.net.Uri: java.lang.String encode(java.lang.String)>: 2
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>: 2
<android.net.Uri$Builder: android.net.Uri$Builder encodedPath(java.lang.String)>: 2
<java.net.ProxySelector: void <init>()>: 2
<java.io.BufferedReader: void <init>(java.io.Reader,int)>: 1
<java.io.Closeable: void close()>: 1
<java.io.FileInputStream: void <init>(java.io.File)>: 1
<android.net.NetworkInfo: int getType()>: 1
<java.io.File: long length()>: 1
