Duration => 7264
UI Thread => 944
Worker Thread => 7831

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 160
<java.io.PrintStream: void println(java.lang.String)>: 134
<java.lang.Object: boolean equals(java.lang.Object)>: 98
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 60
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 49
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 46
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 46
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 44
<java.io.File: boolean exists()>: 23
<java.io.File: java.lang.String getPath()>: 20
<java.net.CookieManager: void setCookiePolicy(java.net.CookiePolicy)>: 15
<java.net.CookieManager: void <init>()>: 15
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 12
<java.io.File: void <init>(java.lang.String)>: 10
<java.io.File: boolean mkdirs()>: 10
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 9
<java.io.File: void <init>(java.io.File,java.lang.String)>: 8
<android.graphics.Bitmap: int getWidth()>: 8
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 8
<java.io.File: java.lang.String toString()>: 8
<android.graphics.Bitmap: void recycle()>: 7
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 6
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 6
<android.graphics.Bitmap: int getHeight()>: 6
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 5
<java.io.File: boolean createNewFile()>: 5
<android.database.Cursor: void close()>: 5
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 5
<android.graphics.Bitmap: void getPixels(int[],int,int,int,int,int,int)>: 4
<java.io.File: long length()>: 4
<android.graphics.drawable.BitmapDrawable: android.graphics.Bitmap getBitmap()>: 4
<android.graphics.Bitmap: void setPixels(int[],int,int,int,int,int,int)>: 4
<java.io.StringWriter: java.lang.String toString()>: 4
<android.graphics.Bitmap: android.graphics.Bitmap copy(android.graphics.Bitmap$Config,boolean)>: 4
<android.graphics.Bitmap: android.graphics.Bitmap$Config getConfig()>: 4
<android.graphics.Bitmap: boolean isRecycled()>: 4
<android.graphics.BitmapFactory$Options: void <init>()>: 3
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 3
