Duration => 803
UI Thread => 1148
Worker Thread => 1052

----------------StartUI----------------
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 93
<java.io.File: void <init>(java.lang.String)>: 74
<java.io.File: boolean exists()>: 71
<java.io.File: void <init>(java.io.File,java.lang.String)>: 63
<java.io.File: boolean delete()>: 46
<io.realm.internal.SharedRealm: void close()>: 45
<java.io.PrintStream: void println(java.lang.Object)>: 33
<java.io.InputStream: int read(byte[])>: 32
<java.io.InputStream: void close()>: 31
<java.io.ObjectInputStream: void close()>: 23
<java.io.FileInputStream: void close()>: 23
<java.io.FileOutputStream: void close()>: 23
<java.io.ObjectInputStream: java.lang.Object readObject()>: 23
<java.io.ObjectInputStream: void <init>(java.io.InputStream)>: 23
<java.io.File: java.io.File[] listFiles()>: 21
<java.io.FileOutputStream: void <init>(java.io.File)>: 19
<java.io.File: java.lang.String getName()>: 18
<java.io.PrintStream: void println(java.lang.String)>: 17
<io.realm.Realm: void close()>: 16
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 15
<io.realm.internal.RealmNotifier: void close()>: 15
<java.io.InputStream: int available()>: 15
<java.io.FileOutputStream: void write(byte[],int,int)>: 15
<java.io.File: boolean equals(java.lang.Object)>: 15
<io.realm.BaseRealm: void close()>: 15
<java.io.File: java.lang.String getAbsolutePath()>: 14
<java.lang.Object: boolean equals(java.lang.Object)>: 12
<java.lang.Object: java.lang.String toString()>: 12
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 11
<java.net.URI: void <init>(java.lang.String)>: 9
<java.io.File: boolean mkdirs()>: 9
<android.graphics.BitmapFactory$Options: void <init>()>: 8
<java.io.File: java.lang.String toString()>: 8
<java.io.IOException: void <init>(java.lang.String)>: 7
<java.net.URI: java.lang.String toString()>: 7
<android.graphics.Bitmap: int getHeight()>: 7
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 6
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 6
<java.net.URI: java.lang.String getScheme()>: 6
<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>: 6
<java.net.URI: java.lang.String getFragment()>: 6
<java.net.URI: java.lang.String getPath()>: 6
<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>: 6
<java.io.ObjectOutputStream: void close()>: 6
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 5
<android.net.ConnectivityManager$NetworkCallback: void <init>()>: 5
<android.net.Uri$Builder: android.net.Uri$Builder authority(java.lang.String)>: 5
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 5
<android.net.Uri$Builder: void <init>()>: 5
<java.net.URI: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)>: 5
<android.net.ConnectivityManager: void registerNetworkCallback(android.net.NetworkRequest,android.net.ConnectivityManager$NetworkCallback)>: 5
