Duration => 1570
UI Thread => 525
Worker Thread => 4425

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 94
<java.io.ObjectInputStream: java.lang.Object readObject()>: 29
<java.io.ByteArrayInputStream: void <init>(byte[])>: 29
<java.io.ObjectInputStream: void <init>(java.io.InputStream)>: 29
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 28
<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>: 28
<java.io.ByteArrayOutputStream: void <init>()>: 28
<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>: 28
<java.io.ObjectOutputStream: void close()>: 28
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 10
<android.database.Cursor: void close()>: 10
<android.graphics.BitmapFactory$Options: void <init>()>: 8
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 8
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 7
<java.io.BufferedReader: java.lang.String readLine()>: 7
<java.io.BufferedReader: void <init>(java.io.Reader)>: 7
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 6
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 6
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 6
<java.io.File: void <init>(java.lang.String)>: 6
<android.database.sqlite.SQLiteCursor: void close()>: 5
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 5
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 5
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQueryWithFactory(android.database.sqlite.SQLiteDatabase$CursorFactory,java.lang.String,java.lang.String[],java.lang.String)>: 5
<android.database.AbstractCursor: boolean moveToNext()>: 5
<java.lang.Object: boolean equals(java.lang.Object)>: 5
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 5
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 5
<java.io.File: boolean exists()>: 5
<java.io.BufferedReader: void close()>: 5
<android.net.wifi.WifiInfo: java.lang.String getBSSID()>: 5
<android.net.wifi.WifiInfo: java.lang.String getSSID()>: 5
<android.database.sqlite.SQLiteCursor: int getCount()>: 5
<android.database.sqlite.SQLiteDatabase: int update(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[])>: 5
<java.io.FileWriter: void <init>(java.io.File)>: 5
<java.io.File: java.lang.String getPath()>: 4
<java.io.File: java.lang.String getAbsolutePath()>: 4
<java.net.HttpURLConnection: int getResponseCode()>: 3
<java.io.PrintStream: void println(java.lang.String)>: 3
<java.io.File: boolean mkdirs()>: 3
<java.io.PrintStream: void <init>(java.io.OutputStream)>: 2
<java.net.URI: void <init>(java.lang.String)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 2
<android.net.Uri: android.net.Uri withAppendedPath(android.net.Uri,java.lang.String)>: 2
<java.io.File: void <init>(java.io.File,java.lang.String)>: 2
<android.graphics.Bitmap: int getHeight()>: 2
<android.graphics.Bitmap: int getWidth()>: 2
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 2
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 2
<java.io.FileOutputStream: void <init>(java.lang.String,boolean)>: 2
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 2
<java.io.File: java.lang.String getName()>: 1
<java.io.FileOutputStream: void <init>(java.lang.String)>: 1
<java.io.OutputStream: void flush()>: 1
<java.io.FileOutputStream: void <init>(java.io.File)>: 1
<java.io.File: boolean createNewFile()>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 1
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 1
<java.io.FileOutputStream: void close()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 1
----------------StartWorker----------------
<java.lang.String: boolean equals(java.lang.Object)>: 379
<java.io.IOException: void <init>(java.lang.String)>: 199
<java.io.DataInput: int readUnsignedByte()>: 188
<java.io.DataInput: java.lang.String readUTF()>: 141
<org.joda.time.DateTimeZone: boolean equals(java.lang.Object)>: 94
<java.io.DataInputStream: void <init>(java.io.InputStream)>: 94
<java.io.DataInput: boolean readBoolean()>: 94
<android.graphics.Bitmap: int getHeight()>: 90
<java.io.File: boolean exists()>: 81
<java.io.File: void <init>(java.io.File,java.lang.String)>: 79
<java.net.URL: void <init>(java.lang.String)>: 70
<java.net.URL: java.net.URLConnection openConnection()>: 69
<java.net.URLConnection: void setConnectTimeout(int)>: 69
<java.net.URLConnection: java.io.InputStream getInputStream()>: 63
<java.io.FileInputStream: void <init>(java.io.File)>: 60
<java.io.InputStream: void close()>: 58
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 56
<java.io.File: boolean delete()>: 56
<android.database.sqlite.SQLiteOpenHelper: void close()>: 54
<android.graphics.Bitmap: int getWidth()>: 54
<java.net.URLConnection: void setDoOutput(boolean)>: 53
<java.io.FilterInputStream: void close()>: 53
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 51
<android.graphics.BitmapFactory$Options: void <init>()>: 51
<java.net.URLConnection: void setReadTimeout(int)>: 51
<java.io.File: java.lang.String getAbsolutePath()>: 51
<java.net.URLConnection: void setDoInput(boolean)>: 48
<java.io.DataInputStream: int readUnsignedShort()>: 47
<java.io.DataInput: int readInt()>: 47
<java.io.DataInput: long readLong()>: 47
<java.io.DataInput: byte readByte()>: 47
<java.io.DataInput: int readUnsignedShort()>: 47
<java.io.DataInputStream: java.lang.String readUTF()>: 47
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 46
