Duration => 30615
UI Thread => 1478
Worker Thread => 15525

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 242
<java.io.File: void <init>(java.lang.String)>: 185
<java.io.File: boolean exists()>: 145
<java.io.BufferedReader: java.lang.String readLine()>: 101
<java.io.BufferedReader: void <init>(java.io.Reader)>: 101
<java.io.File: java.lang.String getPath()>: 56
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 54
<java.io.FileReader: void <init>(java.lang.String)>: 47
<java.io.Reader: void close()>: 47
<java.io.File: boolean isFile()>: 47
<java.io.BufferedReader: boolean ready()>: 47
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 30
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 29
<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>: 27
<java.io.FileOutputStream: void <init>(java.io.File)>: 27
<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>: 27
<java.io.ObjectOutputStream: void close()>: 27
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 17
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 15
<java.io.FileInputStream: void <init>(java.io.File)>: 13
<java.io.FileInputStream: void close()>: 13
<android.net.wifi.WifiInfo: java.lang.String getSSID()>: 13
<java.io.File: boolean delete()>: 12
<java.io.File: java.lang.String getAbsolutePath()>: 12
<java.io.File: boolean createNewFile()>: 8
<java.io.InputStream: void close()>: 6
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 6
<android.net.wifi.WifiInfo: java.lang.String getBSSID()>: 6
<java.io.InputStream: int read(byte[])>: 5
<java.io.File: boolean isDirectory()>: 4
<java.io.File: long length()>: 4
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>: 4
<java.io.BufferedInputStream: void close()>: 4
<java.io.FilterInputStream: void close()>: 4
<java.io.BufferedReader: void close()>: 4
<android.net.wifi.WifiManager: boolean isWifiEnabled()>: 4
<android.net.NetworkInfo: boolean isConnected()>: 4
<java.io.DataInputStream: void <init>(java.io.InputStream)>: 4
<java.io.File: boolean mkdirs()>: 4
<java.io.FileInputStream: int read(byte[],int,int)>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 3
<java.io.ObjectInputStream: void close()>: 3
