Duration => 795
UI Thread => 38
Worker Thread => 6837

----------------StartUI----------------
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 7
<android.database.Cursor: void close()>: 5
<android.graphics.Bitmap: int getHeight()>: 3
<android.graphics.Bitmap: int getWidth()>: 3
<java.io.File: void <init>(java.io.File,java.lang.String)>: 3
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 2
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 2
<android.net.Uri: boolean equals(java.lang.Object)>: 2
<java.io.File: void <init>(java.lang.String)>: 2
<java.io.Writer: void write(char[],int,int)>: 1
<java.io.InputStreamReader: void <init>(java.io.InputStream,java.lang.String)>: 1
<android.graphics.Bitmap$CompressFormat: android.graphics.Bitmap$CompressFormat valueOf(java.lang.String)>: 1
<java.io.InputStream: void close()>: 1
<java.io.BufferedReader: void <init>(java.io.Reader)>: 1
<java.io.Reader: int read(char[])>: 1
<java.io.File: long length()>: 1
<java.lang.Object: java.lang.String toString()>: 1
<java.io.StringWriter: void <init>()>: 1
----------------StartWorker----------------
<java.io.IOException: void <init>(java.lang.String)>: 1413
<java.net.ProtocolException: void <init>(java.lang.String)>: 436
<b.r: void close()>: 305
<b.q: void close()>: 269
<java.net.Proxy: java.net.Proxy$Type type()>: 231
<android.graphics.Bitmap: int getHeight()>: 176
<android.graphics.Bitmap: int getWidth()>: 176
<java.io.EOFException: void <init>()>: 170
<java.io.Closeable: void close()>: 137
<java.net.Proxy: java.net.SocketAddress address()>: 132
<java.io.File: void <init>(java.lang.String)>: 106
<android.graphics.Bitmap: void recycle()>: 105
<java.net.Socket: void close()>: 102
<java.io.IOException: void <init>(java.lang.Throwable)>: 100
<javax.net.ssl.SSLPeerUnverifiedException: void <init>(java.lang.String)>: 99
<java.net.Socket: void setSoTimeout(int)>: 99
<java.net.SocketException: void <init>(java.lang.String)>: 99
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 73
<java.io.File: boolean exists()>: 71
<java.io.File: java.lang.String toString()>: 70
<java.net.SocketTimeoutException: void <init>(java.lang.String)>: 68
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 68
<java.io.InterruptedIOException: void <init>()>: 68
<java.io.EOFException: void <init>(java.lang.String)>: 68
<java.io.InputStream: void close()>: 67
<java.net.InetSocketAddress: java.lang.String getHostName()>: 66
<java.net.Socket: void connect(java.net.SocketAddress,int)>: 66
<java.net.PasswordAuthentication: java.lang.String getUserName()>: 66
<java.io.InputStream: void <init>()>: 66
<java.net.Authenticator: java.net.PasswordAuthentication requestPasswordAuthentication(java.lang.String,java.net.InetAddress,int,java.lang.String,java.lang.String,java.lang.String,java.net.URL,java.net.Authenticator$RequestorType)>: 66
<java.net.PasswordAuthentication: char[] getPassword()>: 66
<java.net.UnknownServiceException: void <init>(java.lang.String)>: 66
<java.net.InetSocketAddress: int getPort()>: 66
<java.net.InetSocketAddress: java.net.InetAddress getAddress()>: 66
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 36
<android.graphics.BitmapFactory$Options: void <init>()>: 36
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 36
<java.io.FileOutputStream: void <init>(java.io.File)>: 36
<java.io.ByteArrayOutputStream: void <init>()>: 36
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFileDescriptor(java.io.FileDescriptor,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 36
<java.io.File: boolean mkdirs()>: 36
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 35
<java.io.File: java.lang.String getName()>: 35
<java.io.OutputStream: void write(byte[])>: 35
<java.io.OutputStream: void flush()>: 35
<java.io.File: java.lang.String getParent()>: 35
<android.graphics.Bitmap: boolean isRecycled()>: 35
<android.os.ParcelFileDescriptor: void close()>: 35
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 35
<java.io.OutputStream: void close()>: 34
<java.net.URI: void <init>(java.lang.String)>: 34
<b.j: void close()>: 34
<java.io.OutputStream: void write(byte[],int,int)>: 34
<java.io.InputStream: int read(byte[],int,int)>: 34
<java.io.InterruptedIOException: void <init>(java.lang.String)>: 34
<java.io.ByteArrayOutputStream: void write(int)>: 34
<com.a.a.a.b.f$a: void close()>: 34
<com.a.a.y: void close()>: 33
<java.net.Socket: void <init>(java.net.Proxy)>: 33
<java.net.InetAddress: java.net.InetAddress getByName(java.lang.String)>: 33
<java.net.URL: void <init>(java.lang.String)>: 33
<java.net.IDN: java.lang.String toASCII(java.lang.String)>: 33
<java.net.InetAddress: java.lang.String getHostAddress()>: 33
<java.net.Socket: boolean isInputShutdown()>: 33
<java.net.ConnectException: void <init>(java.lang.String)>: 33
<b.n: void close()>: 33
<java.net.Socket: boolean isOutputShutdown()>: 33
<java.net.Socket: boolean isClosed()>: 33
<java.net.UnknownHostException: void <init>(java.lang.String)>: 33
<java.net.ProxySelector: java.net.ProxySelector getDefault()>: 33
<java.net.Socket: int getSoTimeout()>: 33
<java.net.InetSocketAddress: void <init>(java.net.InetAddress,int)>: 33
<java.net.InetAddress: java.net.InetAddress getByAddress(byte[])>: 33
<java.net.Socket: java.io.OutputStream getOutputStream()>: 33
<java.net.InetSocketAddress: java.net.InetSocketAddress createUnresolved(java.lang.String,int)>: 33
<java.net.Socket: java.io.InputStream getInputStream()>: 33
<java.net.CookieHandler: java.net.CookieHandler getDefault()>: 33
<java.net.InetAddress: byte[] getAddress()>: 33
<java.net.InetAddress: java.net.InetAddress[] getAllByName(java.lang.String)>: 33
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 1
<java.io.File: void <init>(java.io.File,java.lang.String)>: 1
<android.content.res.AssetFileDescriptor: void close()>: 1
<java.io.File: java.lang.String getAbsolutePath()>: 1
<java.io.FileOutputStream: void close()>: 1
