Duration => 31
UI Thread => 162
Worker Thread => 289

----------------StartUI----------------
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 28
<android.database.sqlite.SQLiteClosable: void close()>: 28
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 26
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 7
<java.io.File: java.lang.String getAbsolutePath()>: 7
<android.graphics.Bitmap: int getHeight()>: 5
<android.graphics.Bitmap: int getWidth()>: 5
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 5
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 5
<android.database.sqlite.SQLiteDatabase: void execSQL(java.lang.String)>: 4
<java.io.File: boolean isDirectory()>: 3
<android.database.Cursor: int getColumnIndexOrThrow(java.lang.String)>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 3
<android.database.Cursor: void close()>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 3
<java.io.File: void <init>(java.lang.String)>: 3
<android.database.MatrixCursor$RowBuilder: android.database.MatrixCursor$RowBuilder add(java.lang.Object)>: 2
<android.graphics.drawable.BitmapDrawable: void <init>(android.graphics.Bitmap)>: 2
<java.io.File: java.io.File[] listFiles()>: 2
<java.io.File: java.lang.String getName()>: 2
<android.database.MatrixCursor: void <init>(java.lang.String[])>: 2
<android.net.Uri: android.net.Uri fromParts(java.lang.String,java.lang.String,java.lang.String)>: 2
<android.database.MatrixCursor: android.database.MatrixCursor$RowBuilder newRow()>: 2
<java.io.File: java.lang.String getParent()>: 1
<java.io.OutputStream: void close()>: 1
<java.io.FileInputStream: void <init>(java.io.File)>: 1
<java.io.FileOutputStream: void <init>(java.io.File)>: 1
<java.io.InputStream: int read(byte[])>: 1
<java.io.InputStream: void close()>: 1
<android.graphics.Bitmap: void setPixels(int[],int,int,int,int,int,int)>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 1
<java.io.File: void <init>(java.io.File,java.lang.String)>: 1
----------------StartWorker----------------
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 27
<android.database.sqlite.SQLiteClosable: void close()>: 27
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 17
<android.graphics.Bitmap: int getHeight()>: 11
<android.graphics.Bitmap: int getWidth()>: 11
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 11
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 10
<android.database.sqlite.SQLiteDatabase: void execSQL(java.lang.String)>: 10
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 6
<java.io.File: java.lang.String getAbsolutePath()>: 6
<java.io.File: void <init>(java.lang.String)>: 6
<java.io.File: boolean exists()>: 6
<java.io.BufferedReader: java.lang.String readLine()>: 5
<java.net.HttpURLConnection: void setFixedLengthStreamingMode(int)>: 5
<java.io.PrintWriter: void close()>: 5
<java.io.PrintWriter: void <init>(java.io.OutputStream)>: 5
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 5
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 5
<java.io.BufferedReader: void close()>: 5
<java.net.URLConnection: void setConnectTimeout(int)>: 5
<java.io.InputStream: void close()>: 5
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 5
<java.net.URL: java.lang.String toString()>: 5
<java.net.URL: void <init>(java.lang.String,java.lang.String,int,java.lang.String)>: 5
<java.net.URLConnection: void setDoOutput(boolean)>: 5
<java.net.URLConnection: void setReadTimeout(int)>: 5
<java.io.PrintWriter: void print(java.lang.String)>: 5
<java.io.FileOutputStream: void <init>(java.lang.String)>: 5
<java.net.URL: java.net.URLConnection openConnection()>: 5
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 5
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 5
<java.io.FileOutputStream: void close()>: 5
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 5
<java.io.BufferedReader: void <init>(java.io.Reader)>: 5
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 5
<java.net.URLConnection: java.io.InputStream getInputStream()>: 5
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 5
<android.database.MatrixCursor$RowBuilder: android.database.MatrixCursor$RowBuilder add(java.lang.Object)>: 4
<android.database.Cursor: int getColumnIndexOrThrow(java.lang.String)>: 4
<android.database.MatrixCursor: void <init>(java.lang.String[])>: 4
<android.database.MatrixCursor: android.database.MatrixCursor$RowBuilder newRow()>: 4
