Duration => 134
UI Thread => 723
Worker Thread => 1305

----------------StartUI----------------
<android.database.sqlite.SQLiteDatabase: boolean isOpen()>: 76
<android.database.sqlite.SQLiteOpenHelper: void close()>: 74
<java.lang.String: boolean equals(java.lang.Object)>: 71
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 49
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 39
<android.database.sqlite.SQLiteDatabase: boolean isReadOnly()>: 37
<android.database.sqlite.SQLiteDatabase: long insertOrThrow(java.lang.String,java.lang.String,android.content.ContentValues)>: 32
<java.io.File: boolean exists()>: 19
<java.io.File: void <init>(java.lang.String)>: 17
<java.io.File: void <init>(java.io.File,java.lang.String)>: 16
<java.io.ObjectInputStream: java.lang.Object readObject()>: 16
<java.io.ObjectInputStream: void <init>(java.io.InputStream)>: 16
<android.graphics.Bitmap: int getHeight()>: 14
<android.graphics.Bitmap: int getWidth()>: 14
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 12
<java.io.ByteArrayInputStream: void <init>(byte[])>: 11
<android.database.Cursor: void close()>: 11
<java.io.File: boolean delete()>: 9
<android.graphics.BitmapFactory$Options: void <init>()>: 7
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 7
<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>: 7
<java.io.File: java.lang.String getAbsolutePath()>: 7
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 7
<android.graphics.Bitmap: void recycle()>: 6
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 6
<java.io.InputStream: void close()>: 6
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 6
<java.io.IOException: void <init>(java.lang.String)>: 6
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 5
<java.io.FileInputStream: void <init>(java.lang.String)>: 5
<java.nio.ByteBuffer: java.nio.ByteBuffer allocateDirect(int)>: 4
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 4
<java.io.OutputStream: void close()>: 4
<java.io.FileInputStream: void <init>(java.io.File)>: 4
<java.nio.ByteOrder: java.nio.ByteOrder nativeOrder()>: 4
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 4
<java.io.ByteArrayOutputStream: void <init>()>: 4
<android.database.sqlite.SQLiteDatabase: void execSQL(java.lang.String)>: 3
<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>: 3
<java.io.File: boolean mkdir()>: 3
<java.io.FileOutputStream: void <init>(java.io.File)>: 3
<java.lang.String: int hashCode()>: 3
<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>: 3
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 3
<java.io.ByteArrayOutputStream: void write(byte[],int,int)>: 3
<java.io.IOException: void <init>()>: 2
<java.io.File: boolean renameTo(java.io.File)>: 2
<java.io.File: boolean isDirectory()>: 2
<java.io.InputStream: int read(byte[])>: 2
<java.io.File: long length()>: 2
<java.nio.IntBuffer: java.nio.IntBuffer wrap(int[])>: 2
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 2
<android.database.sqlite.SQLiteDatabase: long insertWithOnConflict(java.lang.String,java.lang.String,android.content.ContentValues,int)>: 2
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 2
<android.database.sqlite.SQLiteDatabase: int delete(java.lang.String,java.lang.String,java.lang.String[])>: 2
<java.io.File: java.lang.String getPath()>: 2
<android.graphics.Bitmap: void copyPixelsFromBuffer(java.nio.Buffer)>: 2
<java.io.Writer: void write(java.lang.String)>: 2
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 2
<java.io.Writer: void close()>: 2
