Duration => 1028
UI Thread => 752
Worker Thread => 2448

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 341
<java.io.File: void <init>(java.io.File,java.lang.String)>: 39
<java.io.File: boolean exists()>: 36
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 25
<android.graphics.BitmapFactory$Options: void <init>()>: 23
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 23
<java.io.File: java.lang.String getPath()>: 20
<java.io.File: java.lang.String getAbsolutePath()>: 14
<java.io.FileOutputStream: void <init>(java.io.File)>: 12
<java.lang.Object: boolean equals(java.lang.Object)>: 11
<android.graphics.Bitmap: int getHeight()>: 10
<android.graphics.Bitmap: int getWidth()>: 10
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 9
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 8
<android.net.NetworkInfo: boolean isConnected()>: 8
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 8
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 7
<java.io.FileInputStream: void close()>: 7
<java.io.File: boolean delete()>: 7
<java.io.FileOutputStream: void close()>: 7
<java.io.File: boolean renameTo(java.io.File)>: 6
<java.io.FileInputStream: void <init>(java.io.File)>: 6
<android.database.Cursor: void close()>: 6
<java.io.OutputStream: void close()>: 5
<java.io.InputStream: void close()>: 5
<java.io.File: long length()>: 5
<java.io.File: void <init>(java.lang.String)>: 5
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 4
<java.io.InputStream: int read(byte[])>: 4
<java.io.FileInputStream: java.io.FileDescriptor getFD()>: 4
<java.io.OutputStream: void write(byte[],int,int)>: 4
<java.io.FileOutputStream: void <init>(java.lang.String)>: 4
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 4
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFileDescriptor(java.io.FileDescriptor)>: 4
<android.graphics.Bitmap: void recycle()>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 3
<java.io.BufferedWriter: void close()>: 3
<java.io.File: boolean mkdir()>: 3
<java.io.Writer: void write(java.lang.String)>: 3
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 3
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream)>: 3
<java.io.File: boolean createNewFile()>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>: 3
<android.database.sqlite.SQLiteClosable: void close()>: 3
<java.io.FileOutputStream: void write(byte[],int,int)>: 2
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>: 2
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 2
<java.io.OutputStream: void flush()>: 2
