Duration => 50
UI Thread => 137
Worker Thread => 74

----------------StartUI----------------
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 17
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 15
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 12
<android.database.Cursor: void close()>: 9
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 7
<java.io.File: boolean exists()>: 7
<android.net.Uri: android.net.Uri withAppendedPath(android.net.Uri,java.lang.String)>: 6
<android.net.Uri: java.lang.String encode(java.lang.String)>: 6
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 5
<java.io.File: java.lang.String getAbsolutePath()>: 5
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 5
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 5
<java.io.File: boolean mkdirs()>: 5
<java.io.File: void <init>(java.io.File,java.lang.String)>: 5
<java.io.InputStream: void close()>: 4
<android.database.sqlite.SQLiteClosable: void close()>: 4
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream)>: 3
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 3
<android.database.DataSetObserver: void <init>()>: 2
<android.graphics.Bitmap: int getHeight()>: 1
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 1
<java.io.InputStream: int read(byte[])>: 1
<android.graphics.Bitmap: int getWidth()>: 1
<android.graphics.drawable.BitmapDrawable: android.graphics.Bitmap getBitmap()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap copy(android.graphics.Bitmap$Config,boolean)>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 1
<java.io.InputStream: int available()>: 1
----------------StartWorker----------------
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 7
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 7
<java.io.BufferedReader: java.lang.String readLine()>: 5
<java.io.BufferedReader: void close()>: 5
<java.net.URL: void <init>(java.lang.String)>: 5
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 5
<java.io.BufferedReader: void <init>(java.io.Reader)>: 5
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 4
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 3
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 3
<java.io.InputStream: void close()>: 3
<java.net.URL: java.io.InputStream openStream()>: 3
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>: 2
<java.net.URL: java.net.URLConnection openConnection()>: 2
<java.io.PrintStream: void println(java.lang.String)>: 2
<android.database.Cursor: void close()>: 2
<java.net.URLConnection: java.io.InputStream getInputStream()>: 2
<java.io.OutputStream: void close()>: 1
<java.io.InputStream: int read(byte[])>: 1
<android.database.sqlite.SQLiteDatabase: boolean isOpen()>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
<java.io.File: boolean delete()>: 1
<java.io.FileOutputStream: void <init>(java.lang.String)>: 1
<java.io.OutputStream: void flush()>: 1
<android.database.sqlite.SQLiteClosable: void close()>: 1
<java.io.File: boolean exists()>: 1
