Duration => 4178
UI Thread => 534
Worker Thread => 15907

----------------StartUI----------------
<java.io.File: void <init>(java.lang.String)>: 42
<java.io.File: boolean exists()>: 36
<java.io.File: boolean delete()>: 27
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 25
<java.io.File: java.lang.String getAbsolutePath()>: 24
<java.io.InputStream: int read(byte[])>: 21
<java.io.OutputStream: void flush()>: 21
<java.io.FileOutputStream: void <init>(java.io.File)>: 21
<java.io.File: boolean mkdirs()>: 21
<java.io.InputStream: void close()>: 20
<java.io.File: void <init>(java.io.File,java.lang.String)>: 20
<java.lang.String: boolean equals(java.lang.Object)>: 20
<android.database.Cursor: void close()>: 20
<java.io.OutputStream: void close()>: 19
<java.io.OutputStream: void write(byte[],int,int)>: 19
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)>: 13
<android.graphics.Bitmap: int getHeight()>: 10
<android.graphics.Bitmap: int getWidth()>: 10
<android.graphics.Bitmap: void recycle()>: 9
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 8
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 8
<android.database.sqlite.SQLiteDatabase: int delete(java.lang.String,java.lang.String,java.lang.String[])>: 7
<android.graphics.Bitmap: boolean isRecycled()>: 7
<java.lang.Object: int hashCode()>: 6
<android.graphics.BitmapFactory$Options: void <init>()>: 5
<android.database.sqlite.SQLiteDatabase: void setTransactionSuccessful()>: 5
<android.graphics.BitmapShader: void <init>(android.graphics.Bitmap,android.graphics.Shader$TileMode,android.graphics.Shader$TileMode)>: 5
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 5
<android.database.sqlite.SQLiteDatabase: void beginTransaction()>: 5
<android.database.sqlite.SQLiteDatabase: void endTransaction()>: 5
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String,android.graphics.BitmapFactory$Options)>: 5
<com.tenthbit.juliet.core.model.DataItem: boolean equals(java.lang.Object)>: 4
<java.io.FileInputStream: void <init>(java.io.File)>: 3
<java.io.File: long length()>: 3
<java.lang.Object: boolean equals(java.lang.Object)>: 3
<java.io.FileInputStream: void close()>: 3
<java.util.Formatter: void close()>: 3
<java.io.File: void <init>(java.net.URI)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 2
<java.net.URI: java.net.URI create(java.lang.String)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap$Config getConfig()>: 2
<java.util.Date: boolean equals(java.lang.Object)>: 2
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 2
<java.io.FileOutputStream: void close()>: 2
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 1
<java.io.BufferedReader: void <init>(java.io.Reader,int)>: 1
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 1
<java.io.FileOutputStream: void write(byte[],int,int)>: 1
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 1
<java.io.File: boolean isDirectory()>: 1
<java.io.Reader: int read(char[])>: 1
<java.io.Reader: void close()>: 1
