Duration => 214
UI Thread => 106
Worker Thread => 538

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 7
<java.io.File: java.lang.String getAbsolutePath()>: 6
<java.io.EOFException: void <init>()>: 5
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 4
<java.lang.Enum: boolean equals(java.lang.Object)>: 3
<java.io.File: void <init>(java.io.File,java.lang.String)>: 3
<java.io.File: void <init>(java.lang.String)>: 3
<android.graphics.BitmapFactory$Options: void <init>()>: 2
<android.graphics.Bitmap: void recycle()>: 2
<android.net.TrafficStats: long getTotalRxBytes()>: 2
<java.io.InputStream: int read(byte[])>: 2
<com.uefa.android.core.rest.model.RoundTeaser: boolean equals(java.lang.Object)>: 2
<com.uefa.android.videoplayer.VideoAsset: boolean equals(java.lang.Object)>: 2
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 2
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 2
<java.io.File: boolean exists()>: 2
<java.io.BufferedReader: java.lang.String readLine()>: 2
<java.io.FileOutputStream: void <init>(java.io.File)>: 2
<java.io.BufferedReader: void close()>: 2
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 2
<java.io.IOException: void <init>(java.lang.String)>: 2
<java.io.File: boolean delete()>: 2
<android.net.NetworkInfo: boolean isConnected()>: 2
<android.graphics.Bitmap: void setHasAlpha(boolean)>: 2
<android.net.wifi.WifiManager$WifiLock: void release()>: 2
<android.net.wifi.WifiManager$WifiLock: boolean isHeld()>: 2
<java.io.IOException: void <init>(java.lang.Throwable)>: 2
<java.io.BufferedReader: void <init>(java.io.Reader)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 2
<java.io.FileOutputStream: void write(byte[],int,int)>: 1
<java.io.Closeable: void close()>: 1
<java.io.InputStream: void close()>: 1
<okhttp3.ResponseBody: void close()>: 1
<java.io.File: boolean setExecutable(boolean,boolean)>: 1
<java.util.zip.ZipFile: void close()>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
<java.io.File: java.lang.String getName()>: 1
<java.net.SocketTimeoutException: void <init>(java.lang.String)>: 1
<java.lang.Object: boolean equals(java.lang.Object)>: 1
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 1
<android.net.http.AndroidHttpClient: android.net.http.AndroidHttpClient newInstance(java.lang.String)>: 1
<java.io.OutputStream: void flush()>: 1
<java.net.CookieManager: void setCookiePolicy(java.net.CookiePolicy)>: 1
<okio.Source: void close()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 1
<java.io.File: boolean isFile()>: 1
<android.graphics.Bitmap: int getHeight()>: 1
<java.io.InputStream: int read(byte[],int,int)>: 1
<java.io.File: boolean setReadable(boolean,boolean)>: 1
<java.io.File: boolean setWritable(boolean)>: 1
<java.io.InterruptedIOException: void <init>(java.lang.String)>: 1
<java.lang.String: int hashCode()>: 1
<android.graphics.Bitmap: int getWidth()>: 1
<java.net.CookieManager: void <init>()>: 1
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeByteArray(byte[],int,int,android.graphics.BitmapFactory$Options)>: 1
<java.io.File: java.io.File getParentFile()>: 1
<java.io.FileOutputStream: void close()>: 1
<java.io.File: boolean mkdirs()>: 1
<java.io.EOFException: void <init>(java.lang.String)>: 1
<java.io.File: java.io.File[] listFiles(java.io.FilenameFilter)>: 1
----------------StartWorker----------------
<java.io.File: java.lang.String getAbsolutePath()>: 35
<java.lang.String: boolean equals(java.lang.Object)>: 32
<java.lang.Object: boolean equals(java.lang.Object)>: 28
<android.net.http.AndroidHttpClient: android.net.http.AndroidHttpClient newInstance(java.lang.String)>: 15
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 15
<java.io.Closeable: void close()>: 14
<java.io.InputStream: int read(byte[])>: 14
<java.io.OutputStream: void write(byte[],int,int)>: 14
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 14
<java.lang.Enum: boolean equals(java.lang.Object)>: 14
<java.net.CookieManager: void setCookiePolicy(java.net.CookiePolicy)>: 14
<java.net.CookieManager: void <init>()>: 14
<android.net.NetworkInfo: boolean isConnected()>: 14
<com.uefa.android.core.rest.model.RoundTeaser: boolean equals(java.lang.Object)>: 12
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 10
<android.graphics.Bitmap: void recycle()>: 10
<java.io.File: boolean setExecutable(boolean,boolean)>: 10
<java.util.zip.ZipFile: void close()>: 10
<java.io.File: boolean isFile()>: 10
<java.io.File: void <init>(java.io.File,java.lang.String)>: 10
<java.io.File: boolean setReadable(boolean,boolean)>: 10
<java.io.File: boolean setWritable(boolean)>: 10
<java.io.FileOutputStream: void <init>(java.io.File)>: 10
<java.io.File: boolean delete()>: 10
<java.io.File: java.io.File getParentFile()>: 10
<java.io.File: void <init>(java.lang.String)>: 10
<java.io.File: java.io.File[] listFiles(java.io.FilenameFilter)>: 10
<java.net.URL: void <init>(java.lang.String)>: 8
<java.net.Proxy: void <init>(java.net.Proxy$Type,java.net.SocketAddress)>: 4
<java.net.URL: java.lang.String getPath()>: 4
<java.net.URL: java.lang.String getHost()>: 4
<java.net.URLConnection: java.lang.String getRequestProperty(java.lang.String)>: 4
<java.util.zip.GZIPInputStream: void <init>(java.io.InputStream)>: 4
<java.net.URLConnection: void setDoOutput(boolean)>: 4
<java.net.URLConnection: void setReadTimeout(int)>: 4
<java.net.URL: java.net.URLConnection openConnection()>: 4
<java.net.URL: java.lang.String getProtocol()>: 4
<java.io.BufferedOutputStream: void write(byte[],int,int)>: 4
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>: 4
<java.io.ByteArrayOutputStream: java.lang.String toString(java.lang.String)>: 4
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 4
<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>: 4
<java.net.URLConnection: java.io.InputStream getInputStream()>: 4
<java.io.ByteArrayOutputStream: void <init>(int)>: 4
<java.net.URI: java.lang.String toASCIIString()>: 4
<java.io.ByteArrayInputStream: void <init>(byte[])>: 4
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 4
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 4
<java.net.InetSocketAddress: void <init>(java.lang.String,int)>: 4
<java.net.URLConnection: void setConnectTimeout(int)>: 4
<java.net.HttpURLConnection: int getResponseCode()>: 4
