Duration => 6537
UI Thread => 3131
Worker Thread => 18008

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 1616
<java.lang.String: int hashCode()>: 258
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 127
<android.database.Cursor: void close()>: 125
<java.net.URL: void <init>(java.lang.String)>: 117
<java.net.URL: java.lang.String toString()>: 108
<java.io.PrintStream: void println(java.lang.Object)>: 80
<java.lang.Object: int hashCode()>: 49
<java.io.Writer: void write(java.lang.String)>: 46
<java.io.File: void <init>(java.io.File,java.lang.String)>: 44
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 42
<java.io.FileWriter: void <init>(java.io.File,boolean)>: 41
<com.aws.android.lib.data.Data: int hashCode()>: 37
<java.io.BufferedWriter: void close()>: 37
<okhttp3.ResponseBody: void close()>: 36
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 36
<java.lang.Object: java.lang.String toString()>: 24
<java.lang.Object: boolean equals(java.lang.Object)>: 18
<com.fasterxml.jackson.databind.JavaType: boolean equals(java.lang.Object)>: 16
<java.io.File: boolean exists()>: 14
<com.fasterxml.jackson.databind.JavaType: int hashCode()>: 14
<java.io.IOException: void <init>(java.lang.String)>: 12
<java.io.File: boolean delete()>: 10
<android.support.v4.app.Fragment: int hashCode()>: 9
<java.io.File: void <init>(java.lang.String)>: 8
<com.fasterxml.jackson.core.JsonGenerator: void close()>: 8
<java.io.Closeable: void close()>: 6
<java.net.URI: java.net.URI create(java.lang.String)>: 6
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 6
<java.io.File: boolean createNewFile()>: 6
<java.io.File: boolean renameTo(java.io.File)>: 6
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 6
<com.fasterxml.jackson.core.JsonParser: void close()>: 6
<java.net.URL: java.lang.String getPath()>: 5
<java.io.File: long length()>: 5
<java.io.File: java.lang.String getPath()>: 5
<java.net.URL: java.lang.String getHost()>: 4
<java.io.OutputStream: void write(byte[],int,int)>: 4
<java.net.InetAddress: java.lang.String toString()>: 4
<com.fasterxml.jackson.databind.introspect.MemberKey: boolean equals(java.lang.Object)>: 4
<java.util.Locale: boolean equals(java.lang.Object)>: 4
<java.io.BufferedWriter: void flush()>: 4
<com.fasterxml.jackson.core.base.ParserBase: void close()>: 4
<com.fasterxml.jackson.core.util.ByteArrayBuilder: void <init>()>: 4
<java.net.URL: java.lang.String getProtocol()>: 4
<java.io.Writer: void close()>: 4
<java.io.OutputStream: void <init>()>: 4
<java.io.BufferedWriter: void newLine()>: 3
<java.io.PrintStream: void println(java.lang.String)>: 3
<java.io.InputStream: void close()>: 3
<java.io.InputStream: int read(byte[],int,int)>: 3
<android.graphics.Bitmap: boolean isRecycled()>: 3
<java.io.IOException: void <init>()>: 2
<java.io.FileInputStream: void <init>(java.io.File)>: 2
<java.math.BigInteger: int hashCode()>: 2
<java.io.FileOutputStream: void <init>(java.io.File,boolean)>: 2
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>: 2
<java.io.Reader: void close()>: 2
<java.io.InputStream: void <init>()>: 2
<java.io.File: boolean mkdir()>: 2
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 2
<java.net.InetSocketAddress: int getPort()>: 2
<java.net.InetSocketAddress: void <init>(java.lang.String,int)>: 2
<com.fasterxml.jackson.core.base.GeneratorBase: void close()>: 2
<com.fasterxml.jackson.databind.util.TokenBuffer: void close()>: 2
<com.fasterxml.jackson.core.JsonProcessingException: void <init>(java.lang.String,java.lang.Throwable)>: 2
<java.io.Writer: void <init>()>: 2
<java.io.OutputStream: void close()>: 2
<java.net.InetSocketAddress: java.lang.String getHostName()>: 2
<com.fasterxml.jackson.databind.type.SimpleType: boolean equals(java.lang.Object)>: 2
<java.net.InetAddress: java.net.InetAddress getByName(java.lang.String)>: 2
<java.io.OutputStream: void write(byte[])>: 2
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 2
<com.fasterxml.jackson.databind.util.TypeKey: int hashCode()>: 2
<com.fasterxml.jackson.core.JsonProcessingException: void <init>(java.lang.String)>: 2
<com.fasterxml.jackson.databind.PropertyName: boolean equals(java.lang.Object)>: 2
<java.net.InetSocketAddress: java.net.InetAddress getAddress()>: 2
<java.lang.Double: int hashCode()>: 2
<java.io.StringReader: void <init>(java.lang.String)>: 2
<java.io.File: boolean mkdirs()>: 2
<java.io.Reader: int read(char[],int,int)>: 2
<java.io.BufferedWriter: void <init>(java.io.Writer,int)>: 1
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 1
<android.graphics.Bitmap: void recycle()>: 1
<java.io.File: boolean isDirectory()>: 1
<java.io.ByteArrayOutputStream: java.lang.String toString()>: 1
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>: 1
<java.io.FileInputStream: int available()>: 1
<java.nio.charset.Charset: boolean equals(java.lang.Object)>: 1
<java.io.ByteArrayOutputStream: void <init>(int)>: 1
<java.io.FileInputStream: void close()>: 1
<java.lang.Long: boolean equals(java.lang.Object)>: 1
