Duration => 2302
UI Thread => 1661
Worker Thread => 8941

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 573
<java.lang.Object: boolean equals(java.lang.Object)>: 188
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 127
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 110
<android.net.NetworkInfo: boolean isConnectedOrConnecting()>: 81
<android.database.sqlite.SQLiteDatabase: void execSQL(java.lang.String)>: 77
<java.lang.String: int hashCode()>: 71
<android.database.ContentObserver: void <init>(android.os.Handler)>: 55
<android.database.Cursor: void close()>: 49
<android.net.Uri$Builder: android.net.Uri build()>: 35
<java.lang.Enum: boolean equals(java.lang.Object)>: 30
<android.net.NetworkInfo: int getType()>: 23
<android.net.http.AndroidHttpClient: android.net.http.AndroidHttpClient newInstance(java.lang.String)>: 23
<com.kroger.mobile.store.model.KrogerStore: boolean equals(java.lang.Object)>: 23
<java.io.PrintStream: void println(java.lang.String)>: 23
<android.net.NetworkInfo: java.lang.String getTypeName()>: 23
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 20
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 15
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 6
<android.database.SQLException: void <init>(java.lang.String)>: 6
<android.graphics.BitmapFactory$Options: void <init>()>: 5
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int,android.graphics.BitmapFactory$Options)>: 5
<java.io.Closeable: void close()>: 4
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 4
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 4
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 3
<android.graphics.Bitmap: void recycle()>: 3
<java.io.InputStream: void close()>: 3
