Duration => 3703
UI Thread => 799
Worker Thread => 28262

----------------StartUI----------------
<android.database.Cursor: void close()>: 197
<java.lang.String: boolean equals(java.lang.Object)>: 143
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 40
<android.database.DatabaseUtils: java.lang.String sqlEscapeString(java.lang.String)>: 27
<java.io.File: java.lang.String getAbsolutePath()>: 23
<java.io.File: boolean exists()>: 21
<java.io.File: void <init>(java.lang.String)>: 21
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 20
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 15
<java.io.File: void <init>(java.io.File,java.lang.String)>: 13
<android.database.DataSetObserver: void <init>()>: 11
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 11
<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>: 10
<android.database.Cursor: int getCount()>: 10
<android.database.MatrixCursor: void addRow(java.lang.Object[])>: 10
<android.database.MatrixCursor: void <init>(java.lang.String[])>: 10
<android.net.NetworkInfo: java.lang.String getSubtypeName()>: 10
<android.net.wifi.WifiInfo: java.lang.String getSSID()>: 10
<android.net.NetworkInfo: java.lang.String getTypeName()>: 10
<java.io.File: boolean mkdirs()>: 10
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 9
<java.io.InputStream: int read(byte[])>: 9
<java.io.InputStream: void close()>: 8
<java.lang.String: int hashCode()>: 7
<java.io.InputStream: int available()>: 7
<android.net.Uri: android.net.Uri withAppendedPath(android.net.Uri,java.lang.String)>: 5
<android.net.Uri: java.lang.String encode(java.lang.String)>: 5
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 4
<android.net.Uri: boolean equals(java.lang.Object)>: 4
<android.graphics.Bitmap: int getHeight()>: 4
<android.graphics.Bitmap: int getWidth()>: 4
<android.database.SQLException: void <init>(java.lang.String)>: 4
<java.io.File: long length()>: 3
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 3
<android.database.sqlite.SQLiteDatabase: long insertOrThrow(java.lang.String,java.lang.String,android.content.ContentValues)>: 3
<java.io.File: boolean renameTo(java.io.File)>: 3
<android.database.Cursor: int getColumnIndex(java.lang.String)>: 3
<java.net.Inet6Address: boolean isLinkLocalAddress()>: 2
<java.net.URI: void <init>(java.lang.String)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 2
<java.net.Inet6Address: boolean isIPv4CompatibleAddress()>: 2
<java.io.OutputStream: void write(byte[],int,int)>: 2
<android.database.sqlite.SQLiteDatabase: int delete(java.lang.String,java.lang.String,java.lang.String[])>: 2
<java.net.URI: java.lang.String getHost()>: 2
<java.io.OutputStream: void flush()>: 2
<java.net.Inet6Address: boolean isAnyLocalAddress()>: 2
<java.net.NetworkInterface: java.util.Enumeration getInetAddresses()>: 2
<java.net.Inet6Address: java.lang.String getHostAddress()>: 2
<android.database.Cursor: int getInt(int)>: 2
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 2
<java.net.Inet6Address: byte[] getAddress()>: 2
<android.database.Cursor: java.lang.String getString(int)>: 2
<java.net.Inet6Address: boolean isLoopbackAddress()>: 2
<java.net.NetworkInterface: java.util.Enumeration getNetworkInterfaces()>: 2
<java.io.FileOutputStream: void <init>(java.io.File)>: 2
<java.io.File: boolean delete()>: 2
<android.net.wifi.WifiManager$WifiLock: void release()>: 2
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 1
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 1
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 1
<java.io.FileOutputStream: java.io.FileDescriptor getFD()>: 1
<android.graphics.Bitmap: void recycle()>: 1
<java.io.FileInputStream: void <init>(java.io.File)>: 1
<java.io.Closeable: void close()>: 1
<android.graphics.Bitmap: void eraseColor(int)>: 1
<java.io.File: boolean setExecutable(boolean,boolean)>: 1
<java.io.File: java.lang.String getPath()>: 1
<java.io.ByteArrayOutputStream: void <init>(int)>: 1
<java.io.FileInputStream: void close()>: 1
<android.database.Cursor: boolean moveToNext()>: 1
<java.io.File: boolean setWritable(boolean)>: 1
<java.io.File: boolean createNewFile()>: 1
<java.io.IOException: void <init>(java.lang.String)>: 1
