Duration => 4113
UI Thread => 10841
Worker Thread => 11154

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 3790
<java.lang.Enum: boolean equals(java.lang.Object)>: 1385
<android.net.Uri$Builder: void <init>()>: 665
<android.net.Uri$Builder: android.net.Uri build()>: 610
<android.net.Uri$Builder: android.net.Uri$Builder appendPath(java.lang.String)>: 610
<android.net.Uri$Builder: android.net.Uri$Builder authority(java.lang.String)>: 610
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 610
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 412
<java.lang.Object: boolean equals(java.lang.Object)>: 228
<java.lang.String: int hashCode()>: 226
<java.io.PrintStream: void println(java.lang.String)>: 166
<android.database.sqlite.SQLiteOpenHelper: void close()>: 112
<java.lang.Boolean: boolean equals(java.lang.Object)>: 110
<java.net.URLDecoder: java.lang.String decode(java.lang.String)>: 62
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 58
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 58
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 57
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 57
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)>: 57
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 55
<java.io.File: boolean isDirectory()>: 55
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 55
<java.io.File: java.io.File createTempFile(java.lang.String,java.lang.String,java.io.File)>: 55
<java.io.InputStream: void close()>: 55
<android.database.sqlite.SQLiteDatabase: void setTransactionSuccessful()>: 55
<e.af: void close()>: 55
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 55
<android.net.Uri$Builder: java.lang.String toString()>: 55
<java.net.ProxySelector: java.net.ProxySelector getDefault()>: 55
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 55
<android.database.sqlite.SQLiteDatabase: void beginTransaction()>: 55
<android.database.sqlite.SQLiteDatabase: void endTransaction()>: 55
<java.io.ByteArrayInputStream: void <init>(byte[])>: 55
<java.io.IOException: void <init>(java.lang.String)>: 55
<android.database.sqlite.SQLiteDatabase: int update(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[])>: 55
<java.lang.reflect.Method: boolean equals(java.lang.Object)>: 55
