Duration => 63
UI Thread => 17
Worker Thread => 69

----------------StartUI----------------
<android.database.Cursor: void close()>: 6
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 6
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 3
<android.database.sqlite.SQLiteOpenHelper: void close()>: 2
----------------StartWorker----------------
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 6
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 6
<android.database.sqlite.SQLiteOpenHelper: void close()>: 6
<java.io.BufferedReader: java.lang.String readLine()>: 4
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 4
<java.io.InputStream: void close()>: 4
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 4
<android.database.Cursor: void close()>: 4
<java.io.BufferedReader: void <init>(java.io.Reader)>: 4
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 3
<java.net.URLConnection: void setConnectTimeout(int)>: 2
<java.net.URL: void <init>(java.lang.String)>: 2
<java.net.URLConnection: void setReadTimeout(int)>: 2
<java.net.URL: java.net.URLConnection openConnection()>: 2
<java.net.URLConnection: java.io.InputStream getInputStream()>: 2
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 2
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 1
<android.net.Uri$Builder: android.net.Uri build()>: 1
<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.lang.String)>: 1
<java.net.URLConnection: void setDoOutput(boolean)>: 1
<java.net.URLConnection: void setDoInput(boolean)>: 1
<android.net.Uri$Builder: void <init>()>: 1
<java.io.BufferedWriter: void close()>: 1
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 1
<java.io.BufferedWriter: void flush()>: 1
<java.io.Writer: void write(java.lang.String)>: 1
<java.io.BufferedWriter: void <init>(java.io.Writer)>: 1
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 1
