Duration => 8380
UI Thread => 1012
Worker Thread => 2504

----------------StartUI----------------
<java.io.PrintStream: void println(java.lang.String)>: 93
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 76
<java.lang.String: boolean equals(java.lang.Object)>: 74
<java.io.Writer: void write(java.lang.String)>: 43
<java.net.URLConnection: java.net.URL getURL()>: 30
<java.net.URLConnection: void addRequestProperty(java.lang.String,java.lang.String)>: 24
<java.io.File: boolean exists()>: 23
<java.io.File: java.lang.String getAbsolutePath()>: 23
<android.net.NetworkInfo: int getType()>: 21
<java.lang.Object: boolean equals(java.lang.Object)>: 19
<java.net.URL: void <init>(java.lang.String)>: 18
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>: 18
<java.net.URLConnection: java.io.InputStream getInputStream()>: 18
<java.net.HttpURLConnection: int getResponseCode()>: 18
<java.net.HttpURLConnection: java.lang.String getRequestMethod()>: 18
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 18
<java.net.URLConnection: int getContentLength()>: 18
<java.io.File: void <init>(java.io.File,java.lang.String)>: 17
<java.io.Writer: java.io.Writer append(java.lang.CharSequence)>: 14
<java.io.File: void <init>(java.lang.String)>: 14
<com.newrelic.agent.android.instrumentation.io.CountingInputStream: int available()>: 12
<java.net.URL: java.lang.String getHost()>: 12
<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>: 12
<java.io.InputStream: int read(byte[],int,int)>: 12
<java.io.IOException: void <init>(java.lang.String)>: 12
<java.net.HttpURLConnection: java.io.InputStream getErrorStream()>: 12
<java.lang.Object: int hashCode()>: 11
<java.io.Writer: void write(int)>: 7
<java.io.FileOutputStream: java.io.FileDescriptor getFD()>: 7
<java.io.FileInputStream: void <init>(java.io.File)>: 7
<java.io.Closeable: void close()>: 7
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 7
<java.io.InputStream: int read(byte[])>: 7
<java.io.File: long length()>: 7
<java.io.File: boolean setExecutable(boolean,boolean)>: 7
<java.util.zip.ZipFile: void close()>: 7
<java.io.OutputStream: void write(byte[],int,int)>: 7
<java.io.File: java.lang.String getName()>: 7
<java.io.Writer: java.io.Writer append(char)>: 7
<java.io.StringWriter: java.lang.String toString()>: 7
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>: 7
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 7
<java.io.OutputStream: void flush()>: 7
<java.io.File: java.lang.String getCanonicalPath()>: 7
<java.io.Writer: void write(java.lang.String,int,int)>: 7
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 7
<android.graphics.Bitmap: int getHeight()>: 7
<java.io.File: boolean setReadable(boolean,boolean)>: 7
<java.io.File: boolean setWritable(boolean)>: 7
<android.net.NetworkInfo: int getSubtype()>: 7
<java.io.File: boolean createNewFile()>: 7
<java.io.FileOutputStream: void <init>(java.io.File)>: 7
<android.graphics.Bitmap: int getWidth()>: 7
<java.io.StringWriter: void <init>()>: 7
<java.io.FileDescriptor: void sync()>: 7
<java.io.File: boolean delete()>: 7
<android.net.NetworkInfo: boolean isConnected()>: 7
<java.io.EOFException: void <init>()>: 7
<android.net.NetworkInfo: java.lang.String getTypeName()>: 7
<java.io.File: java.io.File[] listFiles(java.io.FilenameFilter)>: 7
<java.net.URL: java.lang.String getPath()>: 6
<javax.net.ssl.HttpsURLConnection: void <init>(java.net.URL)>: 6
<java.net.URL: java.lang.String toString()>: 6
<java.net.HttpURLConnection: void <init>(java.net.URL)>: 6
<io.realm.Realm: void close()>: 6
<java.net.URL: java.lang.String getProtocol()>: 6
<java.net.URL: java.net.URLConnection openConnection()>: 6
<java.io.InputStream: void <init>()>: 6
<com.newrelic.agent.android.instrumentation.HttpURLConnectionExtension: java.io.InputStream getErrorStream()>: 6
<com.newrelic.agent.android.instrumentation.HttpsURLConnectionExtension: java.io.InputStream getErrorStream()>: 6
<java.net.URL: int getPort()>: 6
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream)>: 6
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 6
<java.io.InputStream: int available()>: 6
<java.io.File: boolean mkdirs()>: 2
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 1
<java.io.FileReader: void <init>(java.io.File)>: 1
<java.io.File: boolean isDirectory()>: 1
<java.io.BufferedWriter: void close()>: 1
