Duration => 14260
UI Thread => 359
Worker Thread => 2845

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 61
<java.io.File: boolean exists()>: 23
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 20
<java.io.File: void <init>(java.io.File,java.lang.String)>: 15
<android.net.Uri$Builder: void <init>()>: 13
<java.io.File: void <init>(java.lang.String)>: 12
<android.net.Uri$Builder: android.net.Uri$Builder encodedPath(java.lang.String)>: 12
<java.io.File: java.lang.String getAbsolutePath()>: 9
<java.lang.Object: boolean equals(java.lang.Object)>: 8
<java.io.File: boolean delete()>: 8
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 7
<android.net.NetworkInfo: int getType()>: 7
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 7
<android.net.NetworkInfo: boolean isConnected()>: 7
<android.net.Uri$Builder: android.net.Uri$Builder appendEncodedPath(java.lang.String)>: 6
<java.io.InputStream: int read(byte[])>: 5
<java.io.StringWriter: java.lang.String toString()>: 5
<java.io.FileOutputStream: void <init>(java.io.File)>: 5
<java.io.StringWriter: void <init>()>: 5
<java.io.File: boolean isDirectory()>: 4
<io.realm.internal.SharedRealm: void close()>: 4
<java.lang.Enum: boolean equals(java.lang.Object)>: 4
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 4
<io.realm.a: void close()>: 4
<java.io.PrintWriter: void <init>(java.io.Writer)>: 4
<java.io.PrintStream: void println(java.lang.String)>: 4
<java.io.FileInputStream: void <init>(java.io.File)>: 3
<android.net.Uri$Builder: android.net.Uri build()>: 3
<java.io.InputStream: void close()>: 3
<android.net.Uri$Builder: java.lang.String toString()>: 3
<java.io.File: java.io.File[] listFiles()>: 3
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 3
<java.io.File: boolean mkdirs()>: 3
<java.io.FileOutputStream: java.io.FileDescriptor getFD()>: 2
<java.io.FileOutputStream: void write(byte[],int,int)>: 2
<java.io.Closeable: void close()>: 2
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 2
<java.io.File: long length()>: 2
<java.io.File: boolean setExecutable(boolean,boolean)>: 2
<java.util.zip.ZipFile: void close()>: 2
<java.io.OutputStream: void write(byte[],int,int)>: 2
<java.io.File: boolean equals(java.lang.Object)>: 2
<java.io.File: java.lang.String getName()>: 2
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>: 2
<java.io.OutputStream: void flush()>: 2
<java.io.File: java.lang.String getCanonicalPath()>: 2
<io.realm.m: boolean equals(java.lang.Object)>: 2
<java.io.File: boolean setWritable(boolean)>: 2
<java.io.File: boolean setReadable(boolean,boolean)>: 2
<java.io.File: boolean createNewFile()>: 2
<io.realm.c: void close()>: 2
<io.realm.internal.RealmNotifier: void close()>: 2
<java.io.FileNotFoundException: void <init>(java.lang.String)>: 2
<java.io.FileDescriptor: void sync()>: 2
<java.io.IOException: void <init>(java.lang.String)>: 2
