Duration => 2814
UI Thread => 1056
Worker Thread => 1982

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 265
<java.lang.Object: java.lang.String toString()>: 54
<java.lang.String: int hashCode()>: 54
<com.fasterxml.jackson.databind.JavaType: boolean equals(java.lang.Object)>: 32
<com.fasterxml.jackson.databind.JavaType: int hashCode()>: 28
<java.lang.Object: boolean equals(java.lang.Object)>: 26
<java.io.IOException: void <init>(java.lang.String)>: 26
<java.io.InputStream: int read(byte[],int,int)>: 21
<java.io.PrintStream: void println(java.lang.String)>: 19
<java.io.InputStream: void close()>: 18
<java.lang.Object: int hashCode()>: 16
<com.fasterxml.jackson.core.base.ParserBase: void close()>: 16
<java.net.URI: java.net.URI create(java.lang.String)>: 15
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 13
<java.io.OutputStream: void write(byte[],int,int)>: 12
<java.io.File: boolean exists()>: 12
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 12
<com.fasterxml.jackson.core.JsonParser: void close()>: 12
<java.io.CharConversionException: void <init>(java.lang.String)>: 10
<java.net.InetAddress: java.lang.String getHostAddress()>: 9
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>: 9
<java.net.NetworkInterface: java.util.Enumeration getInetAddresses()>: 9
<java.net.InetAddress: boolean isLoopbackAddress()>: 9
<java.net.URL: void <init>(java.lang.String)>: 9
<java.net.NetworkInterface: java.util.Enumeration getNetworkInterfaces()>: 9
<android.net.NetworkInfo: boolean isConnected()>: 9
<java.io.Closeable: void close()>: 8
<java.net.InetAddress: java.lang.String toString()>: 8
<com.fasterxml.jackson.databind.introspect.MemberKey: boolean equals(java.lang.Object)>: 8
<java.util.Locale: boolean equals(java.lang.Object)>: 8
<com.fasterxml.jackson.core.util.ByteArrayBuilder: void <init>()>: 8
<java.io.OutputStream: void write(byte[])>: 8
<java.io.Writer: void write(java.lang.String)>: 8
<java.io.OutputStream: void <init>()>: 8
<android.database.Cursor: void close()>: 8
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 7
<java.io.File: void <init>(java.io.File,java.lang.String)>: 7
<java.io.File: boolean isDirectory()>: 6
<java.io.InputStream: void <init>()>: 6
