Duration => 49
UI Thread => 189
Worker Thread => 403

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 52
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>: 14
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>: 14
<android.graphics.Bitmap: int getHeight()>: 10
<android.graphics.Bitmap: int getWidth()>: 10
<java.io.File: java.lang.String toString()>: 7
<java.io.File: void <init>(java.io.File,java.lang.String)>: 6
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 5
<java.io.File: java.lang.String getAbsolutePath()>: 5
<java.io.File: boolean exists()>: 5
<java.lang.String: int hashCode()>: 4
<java.io.File: void <init>(java.lang.String)>: 4
<android.graphics.BitmapFactory$Options: void <init>()>: 3
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>: 3
<android.content.res.AssetFileDescriptor: void close()>: 3
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFileDescriptor(java.io.FileDescriptor,android.graphics.Rect,android.graphics.BitmapFactory$Options)>: 3
<android.database.Cursor: void close()>: 3
<java.io.File: java.io.File getAbsoluteFile()>: 2
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 2
<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>: 2
<java.io.FileOutputStream: void <init>(java.io.File)>: 2
<java.io.ByteArrayOutputStream: void <init>()>: 2
<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>: 2
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 2
<android.database.ContentObserver: void <init>(android.os.Handler)>: 2
<java.io.File: java.lang.String getName()>: 2
<java.io.ObjectOutputStream: void close()>: 2
<java.io.File: java.lang.String getPath()>: 2
<java.io.File: boolean mkdir()>: 2
<java.io.OutputStream: void flush()>: 2
<java.io.FileOutputStream: void close()>: 2
<java.util.AbstractMap: boolean equals(java.lang.Object)>: 2
<java.io.File: boolean mkdirs()>: 2
<java.io.ByteArrayInputStream: void <init>(byte[])>: 1
<java.net.URI: void <init>(java.lang.String)>: 1
<java.io.ObjectInputStream: void <init>(java.io.InputStream)>: 1
<java.net.URI: java.lang.String toString()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 1
<java.io.ObjectInputStream: java.lang.Object readObject()>: 1
----------------StartWorker----------------
<java.lang.String: boolean equals(java.lang.Object)>: 103
<java.io.IOException: void <init>(java.lang.String)>: 24
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 12
<java.lang.Object: boolean equals(java.lang.Object)>: 12
<java.net.URI: java.lang.String getHost()>: 12
<io.socket.utf8.UTF8Exception: void <init>(java.lang.String)>: 12
<okhttp3.Response: void close()>: 12
<java.net.URI: java.lang.String getRawQuery()>: 12
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 12
<java.net.URI: int getPort()>: 12
<java.net.URLDecoder: java.lang.String decode(java.lang.String,java.lang.String)>: 12
<java.net.URI: java.lang.String getScheme()>: 12
<java.io.File: void <init>(java.lang.String)>: 8
<java.io.File: boolean exists()>: 5
<java.io.FileInputStream: void <init>(java.io.File)>: 4
<java.net.URL: void <init>(java.lang.String)>: 4
<java.net.URLConnection: void setDoOutput(boolean)>: 4
<java.io.FileInputStream: int read(byte[],int,int)>: 4
<java.io.FileInputStream: int available()>: 4
<java.net.URL: java.net.URLConnection openConnection()>: 4
<java.io.DataOutputStream: void writeBytes(java.lang.String)>: 4
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 4
<java.net.URLConnection: java.io.InputStream getInputStream()>: 4
<java.io.FileInputStream: void close()>: 4
<java.io.BufferedReader: java.lang.String readLine()>: 4
<java.io.FilterInputStream: void close()>: 4
<java.net.URLConnection: java.io.OutputStream getOutputStream()>: 4
<java.io.DataOutputStream: void <init>(java.io.OutputStream)>: 4
<android.graphics.Bitmap: boolean compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream)>: 4
<java.io.DataOutputStream: void flush()>: 4
<java.io.DataOutputStream: void write(byte[],int,int)>: 4
<java.net.URLConnection: void setDoInput(boolean)>: 4
<java.io.FilterOutputStream: void close()>: 4
<java.io.DataInputStream: java.lang.String readLine()>: 4
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>: 4
<java.io.File: java.lang.String getAbsolutePath()>: 4
<java.io.BufferedReader: void <init>(java.io.Reader)>: 4
<java.io.DataInputStream: void <init>(java.io.InputStream)>: 4
<java.io.File: boolean mkdirs()>: 4
<java.net.URLConnection: void setUseCaches(boolean)>: 4
<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>: 4
