Duration => 1189
UI Thread => 659
Worker Thread => 782

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 194
<java.lang.Object: java.lang.String toString()>: 51
<java.lang.String: int hashCode()>: 49
<com.fasterxml.jackson.databind.JavaType: boolean equals(java.lang.Object)>: 24
<com.fasterxml.jackson.databind.JavaType: int hashCode()>: 22
<java.io.IOException: void <init>(java.lang.String)>: 19
<java.lang.Object: boolean equals(java.lang.Object)>: 15
<java.lang.Object: int hashCode()>: 12
<java.net.URI: java.net.URI create(java.lang.String)>: 9
<java.io.File: boolean exists()>: 9
<java.lang.Enum: boolean equals(java.lang.Object)>: 9
<com.fasterxml.jackson.core.JsonParser: void close()>: 9
<java.net.URL: void <init>(java.lang.String)>: 7
<android.graphics.Bitmap: boolean isRecycled()>: 7
<java.io.Closeable: void close()>: 6
<com.fasterxml.jackson.core.a.b: void close()>: 6
<java.io.OutputStream: void write(byte[],int,int)>: 6
<java.io.Reader: void close()>: 6
<java.net.InetAddress: java.lang.String toString()>: 6
<com.fasterxml.jackson.databind.introspect.MemberKey: boolean equals(java.lang.Object)>: 6
<java.util.Locale: boolean equals(java.lang.Object)>: 6
<com.fasterxml.jackson.core.util.ByteArrayBuilder: void <init>()>: 6
<java.io.File: void <init>(java.io.File,java.lang.String)>: 6
<java.io.OutputStream: void <init>()>: 6
<java.io.StringReader: void <init>(java.lang.String)>: 6
<java.io.File: void <init>(java.lang.String)>: 5
<java.net.URLEncoder: java.lang.String encode(java.lang.String,java.lang.String)>: 5
<java.io.File: boolean delete()>: 5
<java.io.File: java.io.File[] listFiles()>: 5
<java.io.File: java.lang.String getName()>: 4
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 4
<java.math.BigInteger: int hashCode()>: 3
<java.io.InputStream: void <init>()>: 3
<android.util.JsonWriter: void close()>: 3
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 3
<java.net.InetSocketAddress: int getPort()>: 3
<java.net.InetSocketAddress: void <init>(java.lang.String,int)>: 3
<java.io.StringWriter: void <init>()>: 3
<com.fasterxml.jackson.databind.util.TokenBuffer: void close()>: 3
<com.fasterxml.jackson.core.JsonProcessingException: void <init>(java.lang.String,java.lang.Throwable)>: 3
<android.graphics.BitmapFactory$Options: void <init>()>: 3
<java.io.OutputStream: void close()>: 3
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 3
<java.net.InetSocketAddress: java.lang.String getHostName()>: 3
<com.fasterxml.jackson.databind.type.SimpleType: boolean equals(java.lang.Object)>: 3
<java.net.InetAddress: java.net.InetAddress getByName(java.lang.String)>: 3
<java.io.InputStream: void close()>: 3
<java.io.StringWriter: java.lang.String toString()>: 3
<java.io.OutputStream: void write(byte[])>: 3
<com.fasterxml.jackson.databind.util.TypeKey: int hashCode()>: 3
<com.fasterxml.jackson.core.JsonProcessingException: void <init>(java.lang.String)>: 3
