Duration => 156
UI Thread => 1728
Worker Thread => 1598

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 155
<android.database.Cursor: void close()>: 139
<java.lang.Object: boolean equals(java.lang.Object)>: 117
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 87
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>: 73
<java.io.File: void <init>(java.lang.String)>: 70
<java.io.File: boolean exists()>: 61
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 56
<java.lang.String: int hashCode()>: 34
<android.database.Cursor: boolean moveToFirst()>: 31
<java.io.File: boolean delete()>: 31
<java.io.Reader: void close()>: 27
<java.io.File: boolean canWrite()>: 24
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String)>: 22
<android.database.Cursor: int getColumnIndex(java.lang.String)>: 22
<android.database.Cursor: long getLong(int)>: 22
<android.database.Cursor: boolean moveToNext()>: 21
<android.database.MergeCursor: void <init>(android.database.Cursor[])>: 21
<java.io.File: java.lang.String getAbsolutePath()>: 21
<java.io.File: boolean canRead()>: 20
<java.io.IOException: void <init>(java.lang.String)>: 19
<java.nio.charset.Charset: java.nio.charset.Charset defaultCharset()>: 18
<java.io.InputStream: void reset()>: 18
<java.io.PrintStream: void println(java.lang.String)>: 18
<java.io.InputStream: void mark(int)>: 18
<java.io.InputStream: int read(byte[],int,int)>: 18
<java.io.File: boolean createNewFile()>: 17
<java.io.File: java.lang.String getName()>: 16
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 14
<java.io.File: void <init>(java.io.File,java.lang.String)>: 13
<java.io.File: boolean mkdir()>: 12
<android.database.Cursor: int getInt(int)>: 12
<android.net.Uri$Builder: android.net.Uri build()>: 12
<android.database.Cursor: java.lang.String getString(int)>: 12
<java.io.InputStreamReader: void <init>(java.io.InputStream,java.nio.charset.Charset)>: 12
<java.io.FileInputStream: void <init>(java.io.File)>: 11
<java.io.Closeable: void close()>: 11
<android.database.Cursor: int getCount()>: 11
<java.io.Writer: void <init>()>: 11
<java.io.InputStream: int read(byte[])>: 10
<android.net.wifi.WifiManager$WifiLock: void release()>: 10
<org.apache.commons.io.input.ProxyInputStream: void <init>(java.io.InputStream)>: 9
<java.net.Proxy: void <init>(java.net.Proxy$Type,java.net.SocketAddress)>: 9
<java.net.URL: java.lang.String getPath()>: 9
<java.net.URL: java.lang.String getHost()>: 9
<java.net.URL: java.lang.String getRef()>: 9
<java.net.URI: void <init>(java.lang.String)>: 9
<java.io.File: long length()>: 9
<java.io.Reader: int read(char[])>: 9
<java.io.Reader: void <init>()>: 9
<android.net.Uri$Builder: android.net.Uri$Builder path(java.lang.String)>: 9
<java.io.RandomAccessFile: void write(byte[],int,int)>: 9
<android.net.wifi.WifiManager$WifiLock: void acquire()>: 9
<java.io.BufferedReader: java.lang.String readLine()>: 9
<java.net.CookieManager: void <init>()>: 9
<java.net.URL: int getPort()>: 9
<java.net.URL: java.lang.String getQuery()>: 9
<java.io.FilterInputStream: void <init>(java.io.InputStream)>: 9
<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>: 9
<java.io.RandomAccessFile: void <init>(java.io.File,java.lang.String)>: 9
<java.net.URI: java.net.URL toURL()>: 9
<java.net.URL: void <init>(java.lang.String)>: 9
<java.io.BufferedInputStream: void <init>(java.io.InputStream)>: 9
<java.net.URL: java.lang.String getProtocol()>: 9
<java.net.CookieManager: void setCookiePolicy(java.net.CookiePolicy)>: 9
<java.net.URI: void <init>(java.lang.String,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String)>: 9
<org.apache.commons.io.output.StringBuilderWriter: void <init>()>: 9
<java.net.InetSocketAddress: java.net.InetSocketAddress createUnresolved(java.lang.String,int)>: 9
<java.net.URL: java.lang.String getUserInfo()>: 9
<java.io.RandomAccessFile: void seek(long)>: 9
<java.io.InputStreamReader: void <init>(java.io.InputStream,java.lang.String)>: 9
<java.io.File: java.lang.String toString()>: 9
<java.io.BufferedReader: void <init>(java.io.Reader)>: 9
<java.io.StringReader: void <init>(java.lang.String)>: 9
<java.io.File: boolean isDirectory()>: 8
<android.graphics.drawable.BitmapDrawable: void <init>()>: 7
<java.io.File: void <init>(java.lang.String,java.lang.String)>: 6
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>: 3
<java.io.InputStream: int read()>: 3
<java.io.File: java.lang.String getParent()>: 3
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 3
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>: 3
<java.io.File: java.io.File[] listFiles()>: 3
<android.database.sqlite.SQLiteDatabase: int delete(java.lang.String,java.lang.String,java.lang.String[])>: 2
<java.util.Calendar: boolean equals(java.lang.Object)>: 2
<java.io.PrintWriter: void <init>(java.io.Writer)>: 2
<java.io.File: java.io.File getParentFile()>: 2
<java.io.FileOutputStream: java.nio.channels.FileChannel getChannel()>: 2
<android.net.NetworkInfo: int getType()>: 2
<android.database.sqlite.SQLiteDatabase: long insertWithOnConflict(java.lang.String,java.lang.String,android.content.ContentValues,int)>: 2
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>: 2
<java.io.PrintWriter: void close()>: 2
<java.io.PrintWriter: void println()>: 2
<android.net.NetworkInfo: boolean isConnected()>: 2
<android.database.sqlite.SQLiteOpenHelper: void <init>(android.content.Context,java.lang.String,android.database.sqlite.SQLiteDatabase$CursorFactory,int)>: 1
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>: 1
<java.nio.CharBuffer: java.lang.String toString()>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
