Duration => 89
UI Thread => 360
Worker Thread => 1133

----------------StartUI----------------
<io.realm.internal.OsSharedRealm: void close()>: 56
<java.io.File: void <init>(java.lang.String)>: 37
<io.realm.Realm: void close()>: 31
<java.io.File: void <init>(java.io.File,java.lang.String)>: 24
<java.io.File: boolean exists()>: 22
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 18
<java.net.URI: void <init>(java.lang.String)>: 18
<java.io.File: boolean equals(java.lang.Object)>: 18
<java.io.File: java.lang.String getName()>: 18
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 10
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 8
<java.io.File: java.io.File createTempFile(java.lang.String,java.lang.String,java.io.File)>: 7
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 6
<android.net.Uri$Builder: android.net.Uri build()>: 5
<java.io.InputStream: int read(byte[])>: 5
<android.net.Uri$Builder: android.net.Uri$Builder appendQueryParameter(java.lang.String,java.lang.String)>: 5
<android.net.Uri$Builder: android.net.Uri$Builder scheme(java.lang.String)>: 5
<android.net.Uri$Builder: void <init>()>: 5
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 5
<java.io.InputStream: void close()>: 4
<android.net.Uri$Builder: android.net.Uri$Builder path(java.lang.String)>: 4
<java.io.File: java.lang.String getAbsolutePath()>: 4
<android.net.Uri: android.net.Uri fromFile(java.io.File)>: 3
<android.net.Uri$Builder: android.net.Uri$Builder encodedAuthority(java.lang.String)>: 3
<android.graphics.drawable.BitmapDrawable: android.graphics.Bitmap getBitmap()>: 2
<java.io.FileOutputStream: void <init>(java.io.File)>: 2
<io.realm.BaseRealm: void close()>: 2
<io.realm.internal.RealmNotifier: void close()>: 2
<android.net.Uri$Builder: android.net.Uri$Builder authority(java.lang.String)>: 2
<java.io.File: boolean mkdirs()>: 2
<java.io.FileOutputStream: java.io.FileDescriptor getFD()>: 1
<android.graphics.Bitmap: void recycle()>: 1
<java.io.FileOutputStream: void write(byte[],int,int)>: 1
<java.io.Closeable: void close()>: 1
<java.io.FileInputStream: void <init>(java.io.File)>: 1
<java.io.File: boolean isDirectory()>: 1
<android.graphics.Bitmap: void eraseColor(int)>: 1
<java.io.File: long length()>: 1
<java.io.File: boolean setExecutable(boolean,boolean)>: 1
<android.net.Uri: boolean equals(java.lang.Object)>: 1
<java.util.zip.ZipFile: void close()>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>: 1
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 1
<java.io.OutputStream: void flush()>: 1
<java.io.File: java.lang.String getCanonicalPath()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 1
<android.graphics.Bitmap: int getHeight()>: 1
<java.io.File: boolean setReadable(boolean,boolean)>: 1
<java.io.File: boolean setWritable(boolean)>: 1
<java.io.File: boolean createNewFile()>: 1
<android.graphics.Bitmap: int getWidth()>: 1
<java.io.FileDescriptor: void sync()>: 1
<java.io.File: boolean delete()>: 1
<java.io.EOFException: void <init>()>: 1
<java.io.FileOutputStream: void close()>: 1
<java.io.File: java.io.File[] listFiles(java.io.FilenameFilter)>: 1
----------------StartWorker----------------
<io.realm.internal.OsSharedRealm: void close()>: 261
<io.realm.Realm: void close()>: 184
<java.io.File: void <init>(java.lang.String)>: 120
<io.realm.BaseRealm: void close()>: 81
<io.realm.internal.RealmNotifier: void close()>: 81
<java.io.File: boolean equals(java.lang.Object)>: 60
<java.io.File: java.lang.String getName()>: 60
<java.io.File: java.io.File[] listFiles(java.io.FileFilter)>: 60
<java.net.URI: void <init>(java.lang.String)>: 60
<java.io.File: boolean exists()>: 60
<java.io.File: void <init>(java.io.File,java.lang.String)>: 60
<android.graphics.drawable.Drawable: void draw(android.graphics.Canvas)>: 7
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources,int)>: 7
<android.graphics.drawable.Drawable: int getIntrinsicHeight()>: 7
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 7
<android.graphics.drawable.BitmapDrawable: android.graphics.Bitmap getBitmap()>: 7
<android.graphics.drawable.Drawable: int getIntrinsicWidth()>: 7
<android.graphics.drawable.BitmapDrawable: void <init>(android.content.res.Resources,android.graphics.Bitmap)>: 4
