Duration => 580
UI Thread => 184
Worker Thread => 2159

----------------StartUI----------------
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 12
<java.io.DataOutputStream: void writeLong(long)>: 12
<java.io.DataOutputStream: void writeInt(int)>: 12
<java.io.FilterOutputStream: void write(byte[])>: 12
<java.io.DataOutputStream: void <init>(java.io.OutputStream)>: 12
<java.io.ByteArrayOutputStream: void <init>()>: 12
<java.io.FilterOutputStream: void close()>: 12
<java.io.IOException: void <init>(java.lang.String)>: 12
<android.net.NetworkRequest$Builder: void <init>()>: 12
<android.net.ConnectivityManager: void registerNetworkCallback(android.net.NetworkRequest,android.net.ConnectivityManager$NetworkCallback)>: 12
<android.net.NetworkRequest$Builder: android.net.NetworkRequest build()>: 12
<android.net.NetworkRequest$Builder: android.net.NetworkRequest$Builder addCapability(int)>: 12
<android.net.ConnectivityManager$NetworkCallback: void <init>()>: 12
<java.io.BufferedReader: java.lang.String readLine()>: 3
<java.io.BufferedReader: void <init>(java.io.Reader,int)>: 3
<java.io.BufferedReader: void close()>: 3
<java.io.InputStreamReader: void <init>(java.io.InputStream)>: 3
<java.io.File: void <init>(java.lang.String)>: 3
<android.graphics.Bitmap: int getHeight()>: 1
<java.io.FileOutputStream: void <init>(java.io.File)>: 1
<java.io.FileOutputStream: void write(byte[],int,int)>: 1
<java.io.InputStream: int read(byte[])>: 1
<android.graphics.Bitmap: int getWidth()>: 1
<java.io.InputStream: void close()>: 1
<java.io.FileOutputStream: void close()>: 1
<android.database.Cursor: void close()>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>: 1
<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>: 1
<java.io.File: boolean mkdirs()>: 1
<java.io.File: boolean exists()>: 1
<java.io.File: void <init>(java.io.File,java.lang.String)>: 1
----------------StartWorker----------------
<android.database.sqlite.SQLiteDatabase: android.database.sqlite.SQLiteStatement compileStatement(java.lang.String)>: 130
<android.database.sqlite.SQLiteProgram: void clearBindings()>: 117
<android.database.sqlite.SQLiteProgram: void bindString(int,java.lang.String)>: 91
<java.io.ByteArrayOutputStream: byte[] toByteArray()>: 74
<java.io.File: java.lang.String getAbsolutePath()>: 73
<java.io.File: void <init>(java.io.File,java.lang.String)>: 70
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>: 65
<android.database.Cursor: void close()>: 65
<java.io.ByteArrayOutputStream: void <init>(int)>: 45
<java.io.File: void <init>(java.lang.String)>: 45
<java.io.ByteArrayOutputStream: void <init>()>: 44
